target,K,fs,disc,score,accuracy,mean_prob_true,persistence_accuracy,majority_accuracy,majority_class,n_features_including_target,features,time_sec,model_pkl_path,edges_csv_path,exclude_other_throughputs,error
throughput_1,8,markov,kmeans,aic,0.908908908908909,0.5321082454836146,0.998998998998999,0.908908908908909,0.0,9.0,"['cores_3', 'python_gc_objects_collected_total_6', 'data_quality_3', 'python_gc_objects_collected_total_7', 'data_quality_2', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'throughput_1']",5.6550862499999965,,,False,
throughput_1,8,markov,dbscan,bic,0.4774774774774775,0.3904297307960785,0.4864864864864865,0.09109109109109109,43.0,9.0,"['buffer_size_2', 'data_quality_3', 'process_resident_memory_bytes_1', 'throughput_3', 'python_gc_objects_collected_total_7', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'throughput_1']",5.643340125000009,,,False,
throughput_1,8,markov,dbscan,aic,0.4774774774774775,0.3904297307960785,0.4864864864864865,0.09109109109109109,43.0,9.0,"['cores_3', 'python_gc_objects_collected_total_6', 'data_quality_3', 'python_gc_objects_collected_total_7', 'data_quality_2', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'throughput_1']",5.446941999999993,,,False,
throughput_1,8,mrmr,classic_uniform,bic,,,,,,,,11.464752208000007,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,8,mrmr,classic_uniform,aic,,,,,,,,11.50048358299999,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,8,mrmr,classic_quantile,bic,0.998998998998999,0.3908916593754839,0.998998998998999,0.0,2.0,9.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'throughput_1']",11.703680875000003,,,False,
throughput_1,8,mrmr,classic_quantile,aic,0.998998998998999,0.6094869620847643,0.998998998998999,0.0,2.0,9.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'throughput_1']",11.842650582999994,,,False,
throughput_1,8,mrmr,kmeans,bic,0.998998998998999,0.8784581180787292,0.998998998998999,0.908908908908909,0.0,9.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'throughput_1']",12.058082417000008,,,False,
throughput_1,8,mrmr,kmeans,aic,0.998998998998999,0.4564557160265106,0.998998998998999,0.908908908908909,0.0,9.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'throughput_1']",11.65936025000002,,,False,
throughput_1,8,mrmr,dbscan,bic,0.4774774774774775,0.3904297307960785,0.4864864864864865,0.09109109109109109,43.0,9.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'throughput_1']",11.397537665999977,,,False,
throughput_1,8,mrmr,dbscan,aic,0.4774774774774775,0.3904297307960785,0.4864864864864865,0.09109109109109109,43.0,9.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'throughput_1']",12.148631165999973,,,False,
throughput_1,8,pca,classic_uniform,bic,,,,,,,,0.6600952919999941,,,False,1
throughput_1,8,pca,classic_uniform,aic,,,,,,,,0.9965550830000041,,,False,1
throughput_1,8,pca,classic_quantile,bic,0.09009009009009009,0.13269774999523934,0.998998998998999,0.0,2.0,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.119103042000006,,,False,
throughput_1,8,pca,classic_quantile,aic,0.2772772772772773,0.3354667761000441,0.998998998998999,0.0,2.0,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.6925976249999906,,,False,
throughput_1,8,pca,kmeans,bic,0.1871871871871872,0.2300092283282841,0.998998998998999,0.908908908908909,0.0,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.0906700000000171,,,False,
throughput_1,8,pca,kmeans,aic,0.26926926926926925,0.31325853937665277,0.998998998998999,0.908908908908909,0.0,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.5011984580000046,,,False,
throughput_1,8,pca,dbscan,bic,,,,,,,,0.25340929200001483,,,False,The node throughput_1_t1 is not in the digraph.
throughput_1,8,pca,dbscan,aic,0.0920920920920921,0.09498271404506943,0.4864864864864865,0.09109109109109109,43.0,7.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'throughput_1']",0.8597112079999931,,,False,
throughput_1,12,markov,classic_uniform,bic,,,,,,,,6.303052624999992,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,12,markov,classic_uniform,aic,,,,,,,,5.713096749999977,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,12,markov,classic_quantile,bic,0.998998998998999,0.44900443453574296,0.998998998998999,0.0,2.0,13.0,"['buffer_size_2', 'data_quality_3', 'process_resident_memory_bytes_1', 'throughput_3', 'python_gc_objects_collected_total_7', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'process_cpu_seconds_total_3', 'python_gc_collections_total_1', 'process_cpu_seconds_total_2', 'process_cpu_seconds_total_1', 'throughput_1']",6.607112000000001,,,False,
throughput_1,12,markov,classic_quantile,aic,0.998998998998999,0.6812298410885977,0.998998998998999,0.0,2.0,12.0,"['python_gc_objects_collected_total_6', 'data_quality_3', 'python_gc_objects_collected_total_7', 'data_quality_2', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'process_cpu_seconds_total_3', 'python_gc_collections_total_1', 'process_cpu_seconds_total_2', 'process_cpu_seconds_total_1', 'throughput_1']",5.929098416000016,,,False,
throughput_1,12,markov,kmeans,bic,0.5495495495495496,0.49772589220752533,0.998998998998999,0.908908908908909,0.0,13.0,"['buffer_size_2', 'data_quality_3', 'process_resident_memory_bytes_1', 'throughput_3', 'python_gc_objects_collected_total_7', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'process_cpu_seconds_total_3', 'python_gc_collections_total_1', 'process_cpu_seconds_total_2', 'process_cpu_seconds_total_1', 'throughput_1']",6.3638260419999995,,,False,
throughput_1,12,markov,kmeans,aic,0.908908908908909,0.47604657987281307,0.998998998998999,0.908908908908909,0.0,13.0,"['cores_3', 'python_gc_objects_collected_total_6', 'data_quality_3', 'python_gc_objects_collected_total_7', 'data_quality_2', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'process_cpu_seconds_total_3', 'python_gc_collections_total_1', 'process_cpu_seconds_total_2', 'process_cpu_seconds_total_1', 'throughput_1']",6.194883458000021,,,False,
throughput_1,12,markov,dbscan,bic,0.4774774774774775,0.3904297307960785,0.4864864864864865,0.09109109109109109,43.0,9.0,"['buffer_size_2', 'data_quality_3', 'process_resident_memory_bytes_1', 'throughput_3', 'python_gc_objects_collected_total_7', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'throughput_1']",5.682302958999998,,,False,
throughput_1,12,markov,dbscan,aic,0.4774774774774775,0.3904297307960785,0.4864864864864865,0.09109109109109109,43.0,9.0,"['cores_3', 'python_gc_objects_collected_total_6', 'data_quality_3', 'python_gc_objects_collected_total_7', 'data_quality_2', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'throughput_1']",5.389388583999988,,,False,
throughput_1,12,mrmr,classic_uniform,bic,,,,,,,,24.571281457999987,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,12,mrmr,classic_uniform,aic,,,,,,,,24.549989584000002,,,False,index 3 is out of bounds for axis 0 with size 3
