target,K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
throughput_1,5,mrmr,classic_quantile,aic,0.9972273567467652,0.9071194323020264,5.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.6024791710078716,
throughput_1,5,mrmr,kmeans,bic,0.6654343807763401,0.6673613218156339,6.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.6907474889885634,
throughput_1,5,mrmr,kmeans,aic,0.6654343807763401,0.6665672562713347,6.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.6937649050960317,
throughput_1,5,mrmr,dbscan,bic,0.333641404805915,0.19255935942683325,6.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",3.064025119994767,
throughput_1,5,mrmr,dbscan,aic,0.41589648798521256,0.3961161340322771,6.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.8653992279432714,
throughput_1,5,pca,classic_uniform,bic,0.0,0.04258377949224348,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput_1']",0.6774241649545729,
throughput_1,5,pca,classic_uniform,aic,0.0,0.19356556707624747,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput_1']",0.8059286701027304,
throughput_1,5,pca,classic_quantile,bic,0.33271719038817005,0.3327200453165236,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput_1']",0.6966025399742648,
throughput_1,5,pca,classic_quantile,aic,0.33271719038817005,0.33271943379996965,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput_1']",1.105191571987234,
throughput_1,5,pca,kmeans,bic,0.0,0.0013378266126158568,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput_1']",0.7000244720838964,
throughput_1,5,pca,kmeans,aic,0.0,0.0006833885152422309,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput_1']",0.845779352937825,
throughput_1,5,pca,dbscan,bic,,,,,0.0902904630638659,The node throughput_1_t1 is not in the digraph.
throughput_1,5,pca,dbscan,aic,0.0,0.009966152074964254,4.0,"['pca_1', 'pca_2', 'pca_5', 'throughput_1']",0.7455963290994987,
