parent,child
data_quality_2_t,throughput_3_t
data_quality_2_t,throughput_1_t
data_quality_2_t,throughput_2_t
throughput_3_t,throughput_2_t
throughput_3_t,throughput_3_t1
throughput_3_t,data_quality_2_t1
throughput_1_t,throughput_1_t1
throughput_1_t,data_quality_2_t1
throughput_2_t,throughput_1_t
throughput_2_t,throughput_2_t1
buffer_size_3_t,throughput_3_t
buffer_size_3_t,buffer_size_3_t1
data_quality_2_t1,throughput_3_t1
data_quality_2_t1,throughput_1_t1
data_quality_2_t1,throughput_2_t1
throughput_3_t1,throughput_2_t1
throughput_2_t1,throughput_1_t1
buffer_size_3_t1,throughput_3_t1
