metric,labels,timestamp,value
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:22:08Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:22:23Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:22:38Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:22:53Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:23:08Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:23:23Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:23:38Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:23:53Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:24:08Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:24:23Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:24:38Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:24:53Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:25:08Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:25:23Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:25:38Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:25:53Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:26:08Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:26:23Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:26:38Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:26:53Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:27:08Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:27:23Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:27:38Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:27:53Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:28:08Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:28:23Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:28:38Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:28:53Z","1"
"cadvisor_version_info","__name__=cadvisor_version_info;cadvisorRevision=6f3f25ba;cadvisorVersion=v0.49.1;instance=cadvisor:8080;job=iot_service;kernelVersion=6.10.14-linuxkit;osVersion=Alpine Linux v3.18","2025-11-03T15:29:08Z","1"
