parent,child
throughput_2_t,throughput_1_t
throughput_1_t,python_gc_collections_total_1_t
throughput_1_t,throughput_1_t1
python_gc_collections_total_1_t,python_gc_collections_total_4_t
python_gc_collections_total_1_t,python_gc_collections_total_7_t
python_gc_collections_total_1_t,python_gc_collections_total_1_t1
python_gc_collections_total_1_t,python_gc_collections_total_4_t1
python_gc_collections_total_1_t,python_gc_collections_total_7_t1
python_gc_objects_collected_total_2_t,python_gc_objects_collected_total_3_t
python_gc_objects_collected_total_3_t,python_gc_objects_collected_total_1_t
python_gc_objects_collected_total_3_t,python_gc_objects_collected_total_2_t1
python_gc_objects_collected_total_1_t,python_gc_objects_collected_total_3_t1
python_gc_objects_collected_total_1_t,python_gc_objects_collected_total_1_t1
python_gc_collections_total_7_t,python_gc_objects_collected_total_2_t
throughput_3_t,throughput_2_t
throughput_3_t,throughput_3_t1
throughput_3_t,throughput_2_t1
throughput_2_t1,throughput_1_t1
throughput_1_t1,python_gc_collections_total_1_t1
python_gc_collections_total_1_t1,python_gc_collections_total_4_t1
python_gc_collections_total_1_t1,python_gc_collections_total_7_t1
python_gc_objects_collected_total_2_t1,python_gc_objects_collected_total_3_t1
python_gc_objects_collected_total_3_t1,python_gc_objects_collected_total_1_t1
python_gc_collections_total_7_t1,python_gc_objects_collected_total_2_t1
throughput_3_t1,throughput_2_t1
