target,K,n_bins,fs,disc,score,n_folds,n_folds_ok,accuracy,accuracy_std,f1,f1_std,precision,precision_std,recall,recall_std,log_loss,log_loss_std,persistence_accuracy,persistence_accuracy_std,persistence_f1,persistence_f1_std,persistence_precision,persistence_precision_std,persistence_recall,persistence_recall_std,ar_dbn_accuracy,ar_dbn_accuracy_std,ar_dbn_f1,ar_dbn_f1_std,ar_dbn_precision,ar_dbn_precision_std,ar_dbn_recall,ar_dbn_recall_std,ar_dbn_log_loss,ar_dbn_log_loss_std,static_bn_si_accuracy,static_bn_si_accuracy_std,static_bn_si_f1,static_bn_si_f1_std,static_bn_si_precision,static_bn_si_precision_std,static_bn_si_recall,static_bn_si_recall_std,static_bn_si_log_loss,static_bn_si_log_loss_std,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,best_fold_accuracy,best_fold,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,prec_tput1,prec_tput2,prec_tput3,rec_tput1,rec_tput2,rec_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,4,2,markov,classic_uniform,bic,5,5,0.9395799702541099,0.01973123007769832,0.8794270375414216,0.02911227976968872,0.8784425207875721,0.030653947426342455,0.8812029075415879,0.030578844706965258,0.19614286225162397,0.04291663602171928,0.9664950801821579,0.009378130232540343,0.9327195238402688,0.010758166047116406,0.9327884823209507,0.010485265613115103,0.9326586844088828,0.01116398038216957,0.8547511678515816,0.029340572945839295,0.46073690899942166,0.00847191395088434,0.4273755839257908,0.014670286472919647,0.5,0.0,0.4165197125997947,0.05258408540677419,0.9627806491889099,0.022560399219186497,0.9289001037690378,0.034891893186461145,0.9230261597176919,0.0398485079535533,0.9357271169529913,0.03158310779514731,0.15466529942323548,0.07097224451708721,6,"throughput_2,buffer_size_3,avg_p_latency_1,buffer_size_2,throughput_3,throughput_1",6.0,trimmed,0.1616698862053454,0.06679340433329344,44.293432182166725,1110.2,12.0,0.964349376114082,3,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins2_dbn_throughput_3_K4_markov_classic_uniform_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins2_dbn_throughput_3_K4_markov_classic_uniform_bic_bins2_edges.csv,False,30,,0.7834224598930482,0.9634581105169341,0.964349376114082,0.654729446507923,0.8995280206351737,0.902360066833751,0.8201644271570014,0.8979741019214703,0.9087517680339463,0.6398204806485861,0.901098081864985,0.8962260917255089,0.4273328964124475,0.1469261341637711,0.13669701926952768
throughput_3,4,3,markov,classic_uniform,bic,5,5,0.8597590805123149,0.06402369112428863,0.7158778920810128,0.15170528592395377,0.7115557678490236,0.15195401118185992,0.7228998327906336,0.15052432770199667,0.43628940258168114,0.13016253828543375,0.9272876478365977,0.013061905071007927,0.8624747248555179,0.016709667387374345,0.8624017075189705,0.016401489873345988,0.8625533577492035,0.017049304300588465,0.7189507034093487,0.0340095038410618,0.27871241497353844,0.007629131782683824,0.23965023446978298,0.011336501280353935,0.3333333333333333,0.0,0.7666433164949852,0.07091676229181973,0.92930508329557,0.022849076521104007,0.8670479699676173,0.05210704305545507,0.8775807660197096,0.055678729792402425,0.8593693989981197,0.05101604102739994,0.269807575751701,0.07648666469753433,5,"throughput_2,data_quality_2,buffer_size_3,throughput_1,throughput_3",3.0,padded,0.11962655996903777,0.06057494822889566,36.86019544489682,1100.6,21.6,0.9206773618538324,3,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_bic_bins3.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_bic_bins3_edges.csv,False,30,,0.5525846702317291,0.9162210338680927,0.9206773618538324,0.43458966598736287,0.7915842642708314,0.8117381463250452,0.568567590388305,0.7842572421309583,0.7949903300268263,0.5603705208968367,0.8050556482764906,0.8306934594168637,0.8375466905406088,0.308619839779106,0.29571021747600773
throughput_3,4,4,markov,classic_uniform,bic,5,5,0.8533256190843537,0.017280249217179123,0.7487424670806243,0.08719493033422737,0.7699799541312764,0.09476534693946283,0.742319295753956,0.09106386419838457,0.5320418904241271,0.05076915000791948,0.9199840318220707,0.02357754289871684,0.8704927960107485,0.031930806875478925,0.8704435903804398,0.03154568468044177,0.8705506597412344,0.032333948212472555,0.5184603882838653,0.07077899252283747,0.17014178918795578,0.01548670032757859,0.12961509707096633,0.017694748130709367,0.25,0.0,1.1052663774540725,0.051709325433997,0.9170183133003553,0.0189738669839607,0.875570110865931,0.054907810528186864,0.8929772841745638,0.05553975467265169,0.869619361565807,0.05140660793451577,0.3389799174459974,0.11355624839145921,6,"buffer_size_3,data_quality_3,throughput_2,scrape_duration_seconds_3,throughput_3,throughput_1",4.0,none,0.15088695529848337,0.07287172926589847,33.37735608778894,1085.2,37.0,0.8716577540106952,2,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4_edges.csv,False,30,,0.6131907308377896,0.8484848484848485,0.8716577540106952,0.5165664707551669,0.7356982876443318,0.7958624072517545,0.521487117462939,0.7398200137669517,0.7814742165654944,0.5964969285729248,0.734052572411174,0.8145208457509527,1.0251506867233284,0.5267500400675361,0.47040532261793033
throughput_3,4,6,markov,classic_uniform,bic,5,5,0.6592471781880404,0.1252479722463427,0.4960491804007126,0.2414179807567087,0.5251614426968835,0.26079975657392473,0.5233950075003466,0.2215781158449844,1.006791740501479,0.30422522739113855,0.8797081918657531,0.030610715883895533,0.7979741616044083,0.017583660319540825,0.7978932326292478,0.017239664703514228,0.7980730020545433,0.01795887308295959,0.39353479269146335,0.10184445063929695,0.0930769514763824,0.01807182365336211,0.06558913211524389,0.01697407510654949,0.16666666666666666,0.0,1.4728558921715174,0.07815156596611063,0.8703653470147007,0.0417374428838262,0.8277334578395521,0.06267402969796673,0.8438382683662855,0.06769783909129233,0.8310206046665325,0.04835161479433298,0.5907491033549102,0.14237428442061065,5,"throughput_2,data_quality_3,throughput_1,buffer_size_3,throughput_3",2.0,padded,0.11654730197042226,0.07357977535575629,29.814318885095417,1030.6,91.6,0.7994652406417112,3,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6_edges.csv,False,30,,0.5267379679144385,0.7959001782531194,0.7994652406417112,0.43735212429799813,0.707135088986644,0.7046108982518507,0.4687210795155305,0.7155456281876768,0.7182849139954839,0.4472127832131347,0.7127280708296863,0.7014195894290368,1.4231385254042028,0.7431519730687224,0.7210889922073671
throughput_3,4,8,markov,classic_uniform,bic,5,5,0.7709837889660843,0.026830120544941733,0.6391486681662909,0.08613914980033242,0.6467947009414228,0.07492065104644734,0.6491330267851279,0.09171938453932249,0.9059910324337382,0.0733746276146676,0.8697253822600844,0.0284101448458961,0.7630910152053453,0.05214938981081402,0.7629160608022136,0.0522602008265096,0.7632880628347479,0.05204775589966335,0.3507573773458222,0.10736264225842222,0.06596428673964878,0.016717868546856394,0.04523886620948064,0.014390437379507745,0.12857142857142856,0.007985957062499245,1.741622251692555,0.0874829126471609,0.8575428678267099,0.037813853279592004,0.7912976185091974,0.09377748985702937,0.8061052439655076,0.0920886650282941,0.80016653575031,0.08920170637328872,0.726963062436695,0.12603705880457983,5,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,throughput_3",1.0,padded,0.11691220579668879,0.07654489660635591,28.995815170928836,994.8,127.4,0.8021390374331551,2,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins8_dbn_throughput_3_K4_markov_classic_uniform_bic_bins8.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins8_dbn_throughput_3_K4_markov_classic_uniform_bic_bins8_edges.csv,False,30,,0.4875222816399287,0.7843137254901961,0.8021390374331551,0.34214259282167214,0.5833191504902469,0.6045780564629564,0.33000925704730055,0.5973865279964077,0.5982785221611551,0.37275600485171334,0.586638734633585,0.6256379647544129,2.254106842321906,0.8672983694495577,0.8066528658244141
throughput_3,4,10,markov,classic_uniform,bic,5,5,0.6847156283382778,0.10175406623773028,0.5670371273584279,0.12317551613333107,0.5697374623166531,0.12341371922127248,0.5828199927159844,0.1161643105951547,1.1464731494867995,0.22626343468296337,0.84013742791701,0.009229171725588358,0.7423261662874467,0.054108708622897066,0.742176680683933,0.05453911088740914,0.7425050960111026,0.05367658619948395,0.2960368442689955,0.09053872269343984,0.04752473461742217,0.013456737490103362,0.031239156797666045,0.010394466140289058,0.10500000000000001,0.011180339887498947,1.9647219631547401,0.10254477174422971,0.8119591016690804,0.050935283784767804,0.703762599118023,0.11157143921598645,0.7075207045832776,0.11633611183380527,0.7196564676511091,0.09866527027186728,0.8771154432244922,0.19084924116629065,5,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,throughput_3",1.0,padded,0.11642590360715985,0.08668232085183263,27.89310062304139,944.4,177.8,0.7620320855614974,1,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10_edges.csv,False,30,,0.6131907308377896,0.7584670231729055,0.7620320855614974,0.3868691558498238,0.5159771455659216,0.5103516797750423,0.35937153786029663,0.5011335358264695,0.5250332887586266,0.47715595947434136,0.5354292384356245,0.5106385284590413,1.2104915159280303,1.0696602859750388,1.0757625091390615
throughput_3,4,2,markov,classic_uniform,aic,5,5,0.8821824657977819,0.07649071447123833,0.7380230978932586,0.18222853899350624,0.7270811393969205,0.1931308918491573,0.7596086010785421,0.16903050292561983,0.2707489270706803,0.09013546223334488,0.9664950801821579,0.009378130232540343,0.9327195238402688,0.010758166047116406,0.9327884823209507,0.010485265613115103,0.9326586844088828,0.01116398038216957,0.8547511678515816,0.029340572945839295,0.46073690899942166,0.00847191395088434,0.4273755839257908,0.014670286472919647,0.5,0.0,0.4165197125997947,0.05258408540677419,0.9636711211390434,0.019137321365382237,0.9293679670724775,0.029780216349493304,0.9225651897198354,0.03214263681094687,0.9374290038221377,0.030832819977724663,0.15282743151214528,0.05492926987849385,5,"throughput_2,throughput_1,buffer_size_3,avg_p_latency_1,throughput_3",12.0,trimmed,0.17782018529251217,0.068613944016397,70.98875617282465,1111.8,10.4,0.9607843137254902,3,,,False,30,,0.7825311942959001,0.9572192513368984,0.9607843137254902,0.6539085847782885,0.8854955989284348,0.8950376323510651,0.8162203881877264,0.8743075106711471,0.8920842055506786,0.6391931280764405,0.8976293008937264,0.8980513470898746,0.546266686609392,0.18149342819077552,0.18015872758748364
throughput_3,4,3,markov,classic_uniform,aic,5,5,0.8077261536849825,0.09672171319521462,0.6377428213333595,0.16323936942706477,0.6646889889182382,0.17114094301983354,0.6339010659925555,0.15705164948883207,0.5440342064832171,0.10597527274751706,0.9272876478365977,0.013061905071007927,0.8624747248555179,0.016709667387374345,0.8624017075189705,0.016401489873345988,0.8625533577492035,0.017049304300588465,0.7189507034093487,0.0340095038410618,0.27871241497353844,0.007629131782683824,0.23965023446978298,0.011336501280353935,0.3333333333333333,0.0,0.7666433164949852,0.07091676229181973,0.923783523416877,0.025586037799254464,0.8484485567816644,0.06977458698515547,0.8577471143438927,0.08422683736137579,0.8576724506682574,0.04567639369478765,0.28960052359483174,0.0715926716909876,6,"throughput_2,buffer_size_3,process_resident_memory_bytes_3,data_quality_2,throughput_3,throughput_1",5.0,trimmed,0.19238666966557502,0.07083193277940154,44.95168452663347,1091.0,31.2,0.8859180035650623,3,,,False,30,,0.5490196078431373,0.8680926916221033,0.8859180035650623,0.44132384747411524,0.7423940841390507,0.7477540551624444,0.49934070922253165,0.7703861180794723,0.7938278161326489,0.4841298064982275,0.7252922804844957,0.7335500394011033,0.9355266250417744,0.6432441080633386,0.675072490815067
throughput_3,4,4,markov,classic_uniform,aic,5,5,0.8082304369979191,0.08968424955263317,0.7260369154245477,0.11908897406607324,0.7776074034771595,0.07937914906437941,0.7235025228178861,0.12032338913996143,0.664963578105678,0.22443632892756143,0.9199840318220707,0.02357754289871684,0.8704927960107485,0.031930806875478925,0.8704435903804398,0.03154568468044177,0.8705506597412344,0.032333948212472555,0.5184603882838653,0.07077899252283747,0.17014178918795578,0.01548670032757859,0.12961509707096633,0.017694748130709367,0.25,0.0,1.1052663774540725,0.051709325433997,0.9138157832191987,0.017062411974173415,0.8722172684206833,0.05625886698860959,0.8944306206793243,0.04887202467721922,0.8623319206646969,0.06207031412631828,0.3723389076617499,0.15183964943702039,6,"throughput_2,buffer_size_3,data_quality_3,cores_2,throughput_3,throughput_1",5.0,trimmed,0.2710805735550821,0.08328760406002403,39.38212801096961,1079.0,43.2,0.9037433155080213,3,,,False,30,,0.6559714795008913,0.8734402852049911,0.9037433155080213,0.6185581517730947,0.6528489500278584,0.8512969017531493,0.6598631179088315,0.6620987880934919,0.8602312256973825,0.6199395786329414,0.6450529910431613,0.8462884770674158,1.0019591501457017,0.45868366971427144,0.3951170488827855
throughput_3,4,6,markov,classic_uniform,aic,5,5,0.7018488800846981,0.09975530259657073,0.5328628170569788,0.12128521015581276,0.5520189662491382,0.09717795830006908,0.5658972671826696,0.12384905136664197,0.870679330912979,0.18618641893433546,0.8797081918657531,0.030610715883895533,0.7979741616044083,0.017583660319540825,0.7978932326292478,0.017239664703514228,0.7980730020545433,0.01795887308295959,0.39353479269146335,0.10184445063929695,0.0930769514763824,0.01807182365336211,0.06558913211524389,0.01697407510654949,0.16666666666666666,0.0,1.4728558921715174,0.07815156596611063,0.8840781397058592,0.014069738412390965,0.8503158193018875,0.04352889914722292,0.8592040075967227,0.05210407042389224,0.8488552455426616,0.03968668011735758,0.5308420648228882,0.1295139487771519,6,"buffer_size_3,data_quality_3,throughput_2,scrape_duration_seconds_3,throughput_3,throughput_1",4.0,none,0.20330703556537627,0.08820901177823544,34.092021754942834,1044.0,78.2,0.8110516934046346,1,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_aic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260610_182425/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_aic_bins6_edges.csv,False,30,,0.7094474153297683,0.8092691622103387,0.8110516934046346,0.4551433516734424,0.6190678059265968,0.6092429369171308,0.41719820380907063,0.626069697498269,0.6059158369862397,0.5700514565039864,0.6227646376411818,0.614052313820304,0.7386614174753191,0.631193463390333,0.7046969115800773
