variable,variable_state,prob,data_quality,avg_p_latency,container_last_seen,cores,container_cpu_system_seconds_total,container_cpu_cfs_throttled_periods_total,container_memory_max_usage_bytes,container_cpu_cfs_periods_total,container_memory_cache,container_cpu_cfs_throttled_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,throughput,container_spec_cpu_quota
container_cpu_cfs_throttled_seconds_total,1,0.4429409111411818,,0.0,,2.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.0045105999097880016,,0.0,,2.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.09009009009009006,,0.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.8198198198198197,,0.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.09009009009009006,,0.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.003591954022988506,,0.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.9346264367816093,,0.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.06178160919540231,,0.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.8002438754018402,,0.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.19864760004434098,,0.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.0011085245538188671,,0.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.6420404573438874,,0.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.357080035180299,,0.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.0008795074758135443,,0.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.6889083991805678,,1.0,,1.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.3096283289435177,,1.0,,1.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.0014632718759145448,,1.0,,1.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.0009617234083477591,,1.0,,2.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.0866512790921331,,1.0,,2.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.912386997499519,,1.0,,2.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.004866180048661801,,1.0,,3.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.004866180048661801,,1.0,,3.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.9902676399026764,,1.0,,3.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.2636109317839467,,1.0,,1.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.7342371422423069,,1.0,,1.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.002151925973746503,,1.0,,1.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.009980039920159679,,1.0,,2.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.9800399201596806,,1.0,,2.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.009980039920159679,,1.0,,2.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.003591954022988506,,1.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.03268678160919541,,1.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.9637212643678161,,1.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.3333333333333333,,1.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.3333333333333333,,1.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.3333333333333333,,1.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.3333333333333333,,1.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.3333333333333333,,1.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.3333333333333333,,1.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.0015554518587649713,,1.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.9338932960024887,,1.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.06455125213874631,,1.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.995976664654999,,2.0,,1.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.0020116676725005027,,2.0,,1.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.0020116676725005027,,2.0,,1.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.0013511687609782462,,2.0,,2.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.07796243750844481,,2.0,,2.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.9206863937305769,,2.0,,2.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.03663003663003663,,2.0,,3.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.03663003663003663,,2.0,,3.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.9267399267399268,,2.0,,3.0,0.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.9842899362264739,,2.0,,1.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.01415461191476124,,2.0,,1.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.0015554518587649713,,2.0,,1.0,1.0,,,,,,,,,
