target,K,n_bins,fs,disc,score,accuracy,f1,precision,recall,log_loss,persistence_accuracy,persistence_f1,persistence_precision,persistence_recall,ar_dbn_accuracy,ar_dbn_f1,ar_dbn_precision,ar_dbn_recall,ar_dbn_log_loss,static_bn_accuracy,static_bn_f1,static_bn_precision,static_bn_recall,static_bn_log_loss,static_bn_si_accuracy,static_bn_si_f1,static_bn_si_precision,static_bn_si_recall,static_bn_si_log_loss,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,prec_tput1,prec_tput2,prec_tput3,rec_tput1,rec_tput2,rec_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,4,2,markov,classic_uniform,bic,0.9584261321455085,0.9247642149274691,0.923246485816054,0.9263003003003003,0.2275734225851726,0.9628804751299184,0.9325825825825826,0.9325825825825826,0.9325825825825826,0.8351893095768375,0.4550970873786408,0.41759465478841873,0.5,0.4509221326960408,0.9584261321455085,0.9247642149274691,0.923246485816054,0.9263003003003003,0.16392383498498575,0.9881305637982196,0.9785072247135027,0.9767968352821557,0.9802377866321028,0.07825239176105661,6,"throughput_2,buffer_size_3,avg_p_latency_1,buffer_size_2,throughput_3,throughput_1",7.0,trimmed,0.20322264404967427,0.08531426009722054,10.958785061025992,1337,10,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins2_dbn_throughput_3_K4_markov_classic_uniform_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins2_dbn_throughput_3_K4_markov_classic_uniform_bic_bins2_edges.csv,False,30,,0.5129918337045286,0.8337045285820341,0.9584261321455085,0.3390578999018646,0.4546558704453441,0.9247642149274691,0.2564959168522643,0.41685226429101707,0.923246485816054,0.5,0.5,0.9263003003003003,0.7059580181018258,0.2620688327115647,0.2275734225851726
throughput_3,4,3,markov,classic_uniform,bic,0.8864142538975501,0.8078507421743238,0.8421717680816226,0.7806845997143644,0.36800468920120716,0.9198218262806236,0.8667046576671411,0.8667046576671411,0.8667046576671411,0.6993318485523385,0.2743556138051551,0.23311061618411286,0.3333333333333333,0.8011727464217471,0.8864142538975501,0.8078507421743238,0.8421717680816226,0.7806845997143644,0.36793420505787966,0.9451038575667656,0.9135527646222595,0.9339115482495357,0.9002646496069469,0.20347617630393944,5,"data_quality_2,throughput_2,buffer_size_3,throughput_1,throughput_3",3.0,padded,0.12182325008325279,0.07228425401262939,8.7763643481303,1327,20,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_bic_bins3.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_bic_bins3_edges.csv,False,30,,0.31328878990348924,0.8693392724573126,0.8864142538975501,0.3117285246166005,0.7877035936413564,0.8078507421743238,0.48285716985053756,0.7963691557987657,0.8421717680816226,0.4394850751469941,0.7808439288062873,0.7806845997143644,1.3158917462348585,0.4829475432782549,0.36800468920120716
throughput_3,4,4,markov,classic_uniform,bic,0.8285077951002228,0.8094475767083569,0.8249355288735609,0.8010916776391762,0.5624090130560521,0.8960653303637713,0.8739650400990078,0.8739283064408108,0.8740025136017482,0.4669636228656273,0.1591599190283401,0.11674090571640683,0.25,1.1536480874518915,0.8433556050482554,0.8211929153194608,0.8355271094215861,0.8087156921921961,0.5892187571730509,0.9072700296735905,0.9159872919811608,0.9229811806022673,0.913248737913087,0.34477367254147,6,"scrape_duration_seconds_3,data_quality_3,buffer_size_3,throughput_2,throughput_3,throughput_1",4.0,none,0.16610058397054672,0.09427215298637748,7.799101569922641,1302,45,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4_edges.csv,False,30,,0.41648106904231624,0.8181143281365999,0.8285077951002228,0.4065572542489885,0.8051799880331515,0.8094475767083569,0.46173128283132003,0.7925325169219125,0.8249355288735609,0.5075738682836428,0.8207809814804361,0.8010916776391762,1.5699538690402544,0.6392403192575792,0.5624090130560521
throughput_3,4,6,markov,classic_uniform,bic,0.7921306607275427,0.7380670443260439,0.7573391695945091,0.7271020414784403,0.6695135335963273,0.8485523385300668,0.7909169132399255,0.7909698965073431,0.790864649972387,0.2969561989606533,0.0763213127265789,0.049492699826775545,0.16666666666666666,1.5309676985598495,0.7631774313288789,0.7186824588706475,0.7397914516877829,0.7108520414784404,0.8088312856984576,0.8813056379821959,0.8799458934381796,0.9031162148564932,0.8665103759392094,0.3875944115703421,5,"data_quality_3,throughput_2,throughput_1,buffer_size_3,throughput_3",2.0,padded,0.10816753399558365,0.08472835901193321,6.917395741911605,1254,93,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6_edges.csv,False,30,,0.4083147735708983,0.6718634001484781,0.7921306607275427,0.26200950078263363,0.5375380897405764,0.7380670443260439,0.2607078166133946,0.5219035165240847,0.7573391695945091,0.2845296587956893,0.5605472818040809,0.7271020414784403,1.9250866662538504,0.8811004274368008,0.6695135335963273
throughput_3,4,8,markov,classic_uniform,bic,0.7520415738678545,0.7089719771915861,0.7288342404604524,0.7036576126208567,0.9693753115948747,0.8418708240534521,0.7728057606295672,0.7728315603982789,0.7727808756903132,0.25315515961395696,0.050503554502369666,0.03164439495174462,0.125,1.8518613254826721,0.7520415738678545,0.7089719771915861,0.7288342404604524,0.7036576126208567,0.9693753115948749,0.8568249258160238,0.8534944852793959,0.8806261662088841,0.845773063744657,0.6510084522178738,5,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,throughput_3",1.0,padded,0.10447661695070565,0.06402360694482923,5.85795281897299,1270,77,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins8_dbn_throughput_3_K4_markov_classic_uniform_bic_bins8.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins8_dbn_throughput_3_K4_markov_classic_uniform_bic_bins8_edges.csv,False,30,,0.38455827765404604,0.5694135115070527,0.7520415738678545,0.2828735508144285,0.4237556331455571,0.7089719771915861,0.31288486006843114,0.41165642297072014,0.7288342404604524,0.27226627682961935,0.48077970454093955,0.7036576126208567,2.0116380132759897,1.1893566228837744,0.9693753115948747
throughput_3,4,10,markov,classic_uniform,bic,0.6896807720861173,0.6303769120532782,0.6171872545778637,0.6570547394554955,1.1661148692554464,0.8374164810690423,0.7956569934752291,0.7956155140113319,0.7956997886349548,0.23608017817371937,0.0381981981981982,0.023608017817371936,0.1,2.052854277847525,0.6896807720861173,0.6303769120532782,0.6171872545778637,0.6570547394554955,1.1661148692554464,0.7841246290801187,0.7289421143443916,0.7110179723649862,0.7619052381759042,0.8926747044300444,5,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,throughput_3",1.0,padded,0.12960732309147716,0.10469005606137216,6.052924819057807,1104,243,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10_edges.csv,False,30,,0.2947290274684484,0.5189309576837416,0.6896807720861173,0.2543229409192865,0.3529575414323676,0.6303769120532782,0.3939508962314939,0.35266247860030275,0.6171872545778637,0.22735097315322692,0.4059747457274995,0.6570547394554955,2.4300312000634943,1.348964378432378,1.1661148692554464
throughput_3,4,2,markov,classic_uniform,aic,0.7216035634743875,0.42681046192183175,0.41726224509243376,0.4374234234234234,0.41798207177730606,0.9628804751299184,0.9325825825825826,0.9325825825825826,0.9325825825825826,0.8351893095768375,0.4550970873786408,0.41759465478841873,0.5,0.4509221326960408,0.9584261321455085,0.9247642149274691,0.923246485816054,0.9263003003003003,0.15796809632109046,0.9881305637982196,0.9785072247135027,0.9767968352821557,0.9802377866321028,0.06928131488193534,6,"throughput_2,buffer_size_3,data_quality_1,data_quality_3,throughput_3,throughput_1",5.0,trimmed,0.2156254700385034,0.08854301902465522,16.318470352096483,1335,12,,,False,30,,0.5129918337045286,0.8337045285820341,0.7216035634743875,0.3390578999018646,0.4546558704453441,0.42681046192183175,0.2564959168522643,0.41685226429101707,0.41726224509243376,0.5,0.5,0.4374234234234234,0.7061598805403085,0.36849847108885586,0.41798207177730606
throughput_3,4,3,markov,classic_uniform,aic,0.9005196733481812,0.8253128468279938,0.8519688205930506,0.8038878687032335,0.38906800163981325,0.9198218262806236,0.8667046576671411,0.8667046576671411,0.8667046576671411,0.6993318485523385,0.2743556138051551,0.23311061618411286,0.3333333333333333,0.8011727464217471,0.8953229398663697,0.8316632894950926,0.8428307560504154,0.8230971631213525,0.36263216688861144,0.9525222551928784,0.9283404363473972,0.9416740002993843,0.9180720194126478,0.19511367809433344,6,"throughput_2,buffer_size_3,process_resident_memory_bytes_3,data_quality_2,throughput_3,throughput_1",6.0,trimmed,0.2604043527971953,0.09865999594330788,10.231015756959096,1304,43,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_aic_bins3.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260515_140134/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_aic_bins3_edges.csv,False,30,,0.3184855233853007,0.8285077951002228,0.9005196733481812,0.3277191970070515,0.7512327285560246,0.8253128468279938,0.42734346982223775,0.7407663357709171,0.8519688205930506,0.46409522406277665,0.7670605571762268,0.8038878687032335,1.3807775661097041,0.44486554197161726,0.38906800163981325
throughput_3,4,4,markov,classic_uniform,aic,0.8210838901262064,0.8006843066790893,0.7907563063818552,0.8142212845187831,0.6048651811516128,0.8960653303637713,0.8739650400990078,0.8739283064408108,0.8740025136017482,0.4669636228656273,0.1591599190283401,0.11674090571640683,0.25,1.1536480874518913,0.8314773570898293,0.7910815808794747,0.7986418838129801,0.7862114058418471,0.6143238960018997,0.908753709198813,0.9087373047938141,0.9272296436691061,0.8969394807950063,0.40033294249299906,6,"throughput_2,buffer_size_3,data_quality_3,cores_2,throughput_3,throughput_1",5.0,trimmed,0.3796480931341648,0.10222064005210996,9.569837750168517,1283,64,,,False,30,,0.41202672605790647,0.8084632516703786,0.8210838901262064,0.3725165523059829,0.7832967789542808,0.8006843066790893,0.5054592934747574,0.7817899484812962,0.7907563063818552,0.47561681594115673,0.7873954253934398,0.8142212845187831,1.4937467831281002,0.6962306418370067,0.6048651811516128
throughput_3,4,6,markov,classic_uniform,aic,0.7668893838158871,0.7329366785329023,0.7477220933255514,0.7363773120527096,0.7895136873133358,0.8485523385300668,0.7909169132399255,0.7909698965073431,0.790864649972387,0.2969561989606533,0.0763213127265789,0.049492699826775545,0.16666666666666666,1.5309676985598495,0.8062360801781737,0.7670517344811875,0.7786618522882534,0.7585447458059519,0.6748250483491022,0.8976261127596439,0.9086966380310857,0.9246568346236107,0.8969118700815332,0.3545277288956809,6,"scrape_duration_seconds_3,data_quality_3,buffer_size_3,throughput_2,throughput_3,throughput_1",4.0,none,0.27578438608907163,0.10896799503825605,7.751658112043515,1251,96,,,False,30,,0.41202672605790647,0.6852264291017075,0.7668893838158871,0.30211340780054974,0.6622964319316919,0.7329366785329023,0.37622852849736654,0.6625753762217689,0.7477220933255514,0.2981155405842083,0.672340946913411,0.7363773120527096,1.8375369060410864,0.8866864496179933,0.7895136873133358
