target,K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,model_pkl_path,edges_csv_path,error
throughput_1,8,markov,dbscan,bic,0.5325325325325325,0.4631831575403095,6.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_objects_collected_total_3', 'buffer_size_2', 'throughput_1']",4.786765291999998,,,
throughput_1,8,markov,dbscan,aic,0.5325325325325325,0.4631831575403095,6.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_objects_collected_total_3', 'buffer_size_2', 'throughput_1']",4.847014541999997,,,
throughput_1,8,mrmr,classic_uniform,bic,,,,,11.262692166999997,,,2
throughput_1,8,mrmr,classic_uniform,aic,,,,,11.342512583000001,,,2
throughput_1,8,mrmr,classic_quantile,bic,0.3073073073073073,0.2589358177615049,9.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'scrape_duration_seconds_3', 'python_gc_objects_collected_total_1', 'throughput_1']",11.930654666999999,,,
throughput_1,8,mrmr,classic_quantile,aic,0.8818818818818819,0.4382235707447616,9.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'scrape_duration_seconds_3', 'python_gc_objects_collected_total_1', 'throughput_1']",12.437237374999995,,,
throughput_1,8,mrmr,kmeans,bic,0.993993993993994,0.7915560335638547,9.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'scrape_duration_seconds_3', 'python_gc_objects_collected_total_1', 'throughput_1']",11.87763612500001,,,
throughput_1,8,mrmr,kmeans,aic,0.6976976976976977,0.7491466443769103,9.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'scrape_duration_seconds_3', 'python_gc_objects_collected_total_1', 'throughput_1']",12.004989833000025,,,
throughput_1,8,mrmr,dbscan,bic,0.5405405405405406,0.24843186784968108,8.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'python_gc_objects_collected_total_1', 'throughput_1']",11.968690708999986,,,
throughput_1,8,mrmr,dbscan,aic,0.5405405405405406,0.24843186784968108,8.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'python_gc_objects_collected_total_1', 'throughput_1']",11.893605375000021,,,
throughput_1,8,pca,classic_uniform,bic,,,,,0.7273924579999971,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,8,pca,classic_uniform,aic,,,,,0.9300996250000253,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,8,pca,classic_quantile,bic,0.03003003003003003,0.16302848143914805,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.2347353749999854,,,
throughput_1,8,pca,classic_quantile,aic,0.03003003003003003,0.28655466141232383,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",2.234578749999997,,,
throughput_1,8,pca,kmeans,bic,0.8078078078078078,0.5347944471451459,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",0.953762791999992,,,
throughput_1,8,pca,kmeans,aic,0.6896896896896897,0.5812799587742262,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.2460437090000198,,,
throughput_1,8,pca,dbscan,bic,0.0,0.05986536562739699,8.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_8', 'throughput_1']",0.947111542000016,,,
throughput_1,8,pca,dbscan,aic,0.001001001001001001,0.016273152508122644,8.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_8', 'throughput_1']",1.3702379580000184,,,
throughput_1,12,markov,classic_uniform,bic,,,,,5.074079874999995,,,2
throughput_1,12,markov,classic_uniform,aic,,,,,5.293435332999991,,,2
throughput_1,12,markov,classic_quantile,bic,0.998998998998999,0.5011897795733028,13.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'throughput_1']",6.158078875000001,,,
throughput_1,12,markov,classic_quantile,aic,0.6926926926926927,0.42618417947795156,13.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'throughput_1']",6.378631832999986,,,
throughput_1,12,markov,kmeans,bic,0.994994994994995,0.9903340613346371,13.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.607789416999992,,,
throughput_1,12,markov,kmeans,aic,0.994994994994995,0.9890105328527519,13.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.771226917000007,,,
throughput_1,12,markov,dbscan,bic,0.5325325325325325,0.46318315754030953,10.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_objects_collected_total_3', 'buffer_size_2', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.216361750000004,,,
throughput_1,12,markov,dbscan,aic,0.5325325325325325,0.4631831575403095,10.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_objects_collected_total_3', 'buffer_size_2', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.306143208999998,,,
throughput_1,12,mrmr,classic_uniform,bic,,,,,24.814009332999973,,,2
throughput_1,12,mrmr,classic_uniform,aic,,,,,25.050187042000005,,,2
throughput_1,12,mrmr,classic_quantile,bic,0.3073073073073073,0.2199935880812331,12.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'scrape_duration_seconds_3', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_7', 'buffer_size_3', 'python_gc_objects_collected_total_8', 'throughput_1']",25.85542108300001,,,
throughput_1,12,mrmr,classic_quantile,aic,0.998998998998999,0.486691632780081,12.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'scrape_duration_seconds_3', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_7', 'buffer_size_3', 'python_gc_objects_collected_total_8', 'throughput_1']",26.707523584,,,
throughput_1,12,mrmr,kmeans,bic,,,,,25.018436749999978,,,3
throughput_1,12,mrmr,kmeans,aic,,,,,25.384832500000016,,,3
throughput_1,12,mrmr,dbscan,bic,0.5405405405405406,0.24843186784968108,11.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_7', 'buffer_size_3', 'python_gc_objects_collected_total_8', 'throughput_1']",25.16859787499999,,,
throughput_1,12,mrmr,dbscan,aic,0.5405405405405406,0.24843186784968108,11.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_7', 'buffer_size_3', 'python_gc_objects_collected_total_8', 'throughput_1']",25.235197832999972,,,
throughput_1,12,pca,classic_uniform,bic,,,,,1.3619769169999927,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,12,pca,classic_uniform,aic,,,,,1.999263916000018,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,12,pca,classic_quantile,bic,0.5225225225225225,0.3327537702071949,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",2.696007624999993,,,
throughput_1,12,pca,classic_quantile,aic,0.6926926926926927,0.32309177438908576,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",3.44516491600001,,,
throughput_1,12,pca,kmeans,bic,0.4624624624624625,0.40252797237910787,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",1.660968333000028,,,
throughput_1,12,pca,kmeans,aic,0.6926926926926927,0.29101879810857045,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",2.3316463329999806,,,
throughput_1,12,pca,dbscan,bic,0.23323323323323322,0.08174188423036237,12.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",1.2799425420000148,,,
throughput_1,12,pca,dbscan,aic,0.3063063063063063,0.03373032633766687,12.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",2.072391542000048,,,
throughput_1,20,markov,classic_uniform,bic,,,,,6.2318528750000155,,,2
throughput_1,20,markov,classic_uniform,aic,,,,,6.548840874999996,,,2
throughput_1,20,markov,classic_quantile,bic,0.3073073073073073,0.2986132017127894,21.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'python_gc_collections_total_2', 'python_gc_collections_total_5', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_objects_collected_total_5', 'python_gc_objects_collected_total_6', 'buffer_size_3', 'python_gc_collections_total_8', 'throughput_1']",7.534829959000035,,,
throughput_1,20,markov,classic_quantile,aic,0.6926926926926927,0.42650252783902143,21.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'python_gc_collections_total_2', 'python_gc_collections_total_5', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_objects_collected_total_5', 'python_gc_objects_collected_total_6', 'buffer_size_3', 'python_gc_collections_total_8', 'throughput_1']",8.138842124999996,,,
throughput_1,20,markov,kmeans,bic,,,,,6.198927499999968,,,3
throughput_1,20,markov,kmeans,aic,,,,,6.7043404589999795,,,3
throughput_1,20,markov,dbscan,bic,0.5405405405405406,0.47761226590544736,18.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_objects_collected_total_3', 'buffer_size_2', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'python_gc_collections_total_2', 'python_gc_collections_total_5', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_objects_collected_total_5', 'python_gc_objects_collected_total_6', 'buffer_size_3', 'python_gc_collections_total_8', 'throughput_1']",6.640672249999966,,,
throughput_1,20,markov,dbscan,aic,0.5405405405405406,0.47761226590544736,18.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_objects_collected_total_3', 'buffer_size_2', 'process_cpu_seconds_total_3', 'python_gc_objects_collected_total_2', 'process_cpu_seconds_total_2', 'python_gc_collections_total_3', 'python_gc_collections_total_2', 'python_gc_collections_total_5', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_objects_collected_total_5', 'python_gc_objects_collected_total_6', 'buffer_size_3', 'python_gc_collections_total_8', 'throughput_1']",6.579532250000057,,,
throughput_1,20,mrmr,classic_uniform,bic,,,,,64.41697025000008,,,2
throughput_1,20,mrmr,classic_uniform,aic,,,,,64.795820833,,,2
throughput_1,20,mrmr,classic_quantile,bic,0.8548548548548549,0.3710305282472521,17.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'scrape_duration_seconds_3', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_7', 'buffer_size_3', 'python_gc_objects_collected_total_8', 'data_quality_3', 'python_gc_objects_collected_total_9', 'avg_p_latency_3', 'python_gc_collections_total_8', 'process_resident_memory_bytes_1', 'throughput_1']",66.79419645799999,,,
throughput_1,20,mrmr,classic_quantile,aic,0.998998998998999,0.47449826340042267,17.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'scrape_duration_seconds_3', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_7', 'buffer_size_3', 'python_gc_objects_collected_total_8', 'data_quality_3', 'python_gc_objects_collected_total_9', 'avg_p_latency_3', 'python_gc_collections_total_8', 'process_resident_memory_bytes_1', 'throughput_1']",66.73585841699992,,,
throughput_1,20,mrmr,kmeans,bic,,,,,64.16772641599994,,,3
throughput_1,20,mrmr,kmeans,aic,,,,,64.35901191599999,,,3
throughput_1,20,mrmr,dbscan,bic,0.5405405405405406,0.47761226590544736,16.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_7', 'buffer_size_3', 'python_gc_objects_collected_total_8', 'data_quality_3', 'python_gc_objects_collected_total_9', 'avg_p_latency_3', 'python_gc_collections_total_8', 'process_resident_memory_bytes_1', 'throughput_1']",64.27343033399995,,,
throughput_1,20,mrmr,dbscan,aic,0.5405405405405406,0.47761226590544736,16.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_3', 'data_quality_1', 'buffer_size_2', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_7', 'buffer_size_3', 'python_gc_objects_collected_total_8', 'data_quality_3', 'python_gc_objects_collected_total_9', 'avg_p_latency_3', 'python_gc_collections_total_8', 'process_resident_memory_bytes_1', 'throughput_1']",64.45260708300009,,,
throughput_1,20,pca,classic_uniform,bic,,,,,3.5495507499999803,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,20,pca,classic_uniform,aic,,,,,5.535223749999886,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,20,pca,classic_quantile,bic,0.6366366366366366,0.5838179075760271,21.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14', 'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'throughput_1']",5.690703624999969,,,
throughput_1,20,pca,classic_quantile,aic,0.03003003003003003,0.32001060271182624,21.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14', 'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'throughput_1']",16.23245891700003,,,
throughput_1,20,pca,kmeans,bic,0.6906906906906907,0.2615626520597557,21.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14', 'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'throughput_1']",4.50164883299999,,,
