K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
8,mrmr,classic_uniform,bic,0.22,0.2672992182533254,8.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'throughput']",2.8031679999999994,
8,mrmr,classic_uniform,aic,0.22,0.2703553858312731,8.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'throughput']",2.9214006249999898,
8,mrmr,classic_quantile,bic,0.732,0.6166127878572146,8.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'throughput']",2.8442784160000087,
8,mrmr,classic_quantile,aic,0.732,0.4909510222318205,8.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'throughput']",2.933302542000007,
8,mrmr,kmeans,bic,0.172,0.2286139103046945,8.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'throughput']",2.9043317919999936,
8,mrmr,kmeans,aic,0.172,0.1859080801024304,8.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'throughput']",2.902685292000001,
8,mrmr,dbscan,bic,0.0,0.02945905961046627,6.0,"['container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'data_quality', 'container_memory_max_usage_bytes', 'throughput']",2.6944304170000066,
8,mrmr,dbscan,aic,0.0,0.030752462626400693,6.0,"['container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'data_quality', 'container_memory_max_usage_bytes', 'throughput']",2.7195328749999987,
8,pca,classic_uniform,bic,0.452,0.4111570142084563,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput']",0.5556629589999886,
8,pca,classic_uniform,aic,0.268,0.3188846963979887,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput']",0.8031852089999916,
8,pca,classic_quantile,bic,0.404,0.48782767000392985,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput']",0.6051875420000101,
8,pca,classic_quantile,aic,0.328,0.3362389735952989,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput']",0.9319621249999841,
8,pca,kmeans,bic,0.12,0.14082303617521796,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput']",0.5794384579999985,
8,pca,kmeans,aic,0.388,0.35661959810367583,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput']",0.7661114579999833,
8,pca,dbscan,bic,,,,,0.029898582999976497,The node throughput_t1 is not in the digraph.
8,pca,dbscan,aic,0.42,0.17449813219486157,1.0,['throughput'],0.09875249999998914,
10,markov,classic_uniform,bic,0.488,0.3053995297742748,11.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'throughput']",8.041480875000019,
10,markov,classic_uniform,aic,0.44,0.36826900914781546,11.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'throughput']",8.082372958000008,
10,markov,classic_quantile,bic,0.732,0.5833530437951862,11.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'throughput']",8.000568375,
