timestamp,avg_p_latency,buffer_size,cadvisor_version_info,container_blkio_device_usage_total,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_load_average_10s,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_fs_inodes_free,container_fs_inodes_total,container_fs_io_current,container_fs_io_time_seconds_total,container_fs_io_time_weighted_seconds_total,container_fs_limit_bytes,container_fs_read_seconds_total,container_fs_reads_bytes_total,container_fs_reads_merged_total,container_fs_reads_total,container_fs_sector_reads_total,container_fs_sector_writes_total,container_fs_usage_bytes,container_fs_write_seconds_total,container_fs_writes_bytes_total,container_fs_writes_merged_total,container_fs_writes_total,container_last_seen,container_memory_cache,container_memory_failcnt,container_memory_failures_total,container_memory_kernel_usage,container_memory_mapped_file,container_memory_max_usage_bytes,container_memory_rss,container_memory_swap,container_memory_usage_bytes,container_memory_working_set_bytes,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_oom_events_total,container_scrape_error,container_spec_cpu_period,container_spec_cpu_quota,container_spec_cpu_shares,container_spec_memory_limit_bytes,container_spec_memory_reservation_limit_bytes,container_spec_memory_swap_limit_bytes,container_start_time_seconds,container_tasks_state,cores,data_quality,machine_cpu_cores,machine_cpu_physical_cores,machine_cpu_sockets,machine_memory_bytes,machine_nvm_avg_power_budget_watts,machine_nvm_capacity,machine_scrape_error,machine_swap_bytes,python_gc_collections_total,python_gc_objects_collected_total,python_gc_objects_uncollectable_total,python_info,throughput,up
2025-11-11T15:16:41Z,3,250,1,0,6.614165606769329,5.924565091711779,0.18921952527970778,0,0.007358429620885217,0.021699160549470874,0.014340730928585652,60509725,0,0,0,0,977896124416,0,334759.39392506186,0,0,0,0,31979892736,0,0,0,0,1762874201,135741440,0,2.353525945768043,0,43589632,210653184,69406720,0,209371136,156389376,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.01675347222222222,0,0,1,250,0
2025-11-11T15:16:42Z,3,250,1,0,6.750461713574145,6.021279878588592,0.19076581491832129,0,0.007305317307692308,0.021542538461538467,0.014237221153846154,60509725,0,0,0,0,977896124416,0,332343.1384615385,0,0,0,0,31979921408,0,0,0,0,1762874202,135741440,0,2.3365384615384617,0,43589632,210653184,69406720,0,209371136,156389376,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.01692395582124987,0,0,1,250,0
2025-11-11T15:16:43Z,3,250,1,0,6.950790536136432,6.20238522827874,0.19642704117353818,0,0.007666437410647711,0.02236928635125289,0.01470283153705609,60509725,0,0,0,0,977896124416,0,334183.7850406416,0,0,0,0,31979954176,0,0,0,0,1762874203,135741440,0,2.3494791274600826,0,43589632,210653184,69410816,0,209362944,156381184,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.016916237532185085,0,0,1,250,0
2025-11-11T15:16:44Z,3,250,1,0,7.074678155452272,6.272608903239381,0.19696492968907114,0,0.007712099026509957,0.022480649579538506,0.014768550553028547,60509725,0,0,0,0,977896124416,0,328303.29524132,0,0,0,0,31979954176,0,0,0,0,1762874204,135741440,0,2.3081363434555624,0,43589632,210653184,69410816,0,209104896,156123136,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.016910931774598546,0,0,1,250,0
2025-11-11T15:16:45Z,3,250,1,0,7.120987654320987,6.314197530864198,0.198254224691358,0,0.007930287044987718,0.023116664284353848,0.015186377239366129,60509725,0,0,0,0,977896124416,0,337591.5376772887,0,0,0,0,31979974656,0,0,0,0,1762874205,135741440,0,2.3734373326446208,0,43589632,210653184,69410816,0,209104896,156123136,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.016903953213828468,0,0,1,250,0
2025-11-11T15:16:46Z,3,250,1,0,7.407438252730851,6.552492208224095,0.20382602706279052,0,0.008078778620139018,0.024248312270108915,0.0161695336499699,60509725,0,0,0,0,977896124416,0,331371.1725803509,0,0,0,0,31979974656,0,0,0,0,1762874206,135741440,0,2.329705055333023,0,43634688,217092096,75948032,0,215953408,162971648,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.016898732279502553,0,0,1,250,0
2025-11-11T15:16:47Z,3,250,1,0,7.618729901911215,6.71462365591398,0.20692590528701926,0,0.008342359661679065,0.024671709404170083,0.016329332588965854,60509725,0,0,0,0,977896124416,0,329382.81360960065,0,0,0,0,31980011520,0,0,0,0,1762874207,135741440,0,2.315725897430112,0,43634688,217260032,75952128,0,215420928,162439168,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.01689278594374606,0,0,1,250,0
2025-11-11T15:16:48Z,4,250,1,0,7.752273777390573,6.833730355665839,0.2105529779992532,0,0.008488666529003057,0.025104397595621844,0.016615713612258054,60509725,0,0,0,0,977896124416,0,335159.4726801692,0,0,0,0,31980040192,0,0,0,0,1762874208,135741440,0,2.356338699487828,0,43634688,217260032,75952128,0,215420928,162439168,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.0168898743093952,0,0,1,250,0
2025-11-11T15:16:49Z,4,250,1,0,7.945032833281369,7.000886752369144,0.21515675702746415,0,0.008692393717663265,0.025514754492078667,0.016822360774415405,60509725,0,0,0,0,977896124416,0,333058.15516237373,0,0,0,0,31980060672,0,0,0,0,1762874209,135741440,0,2.3415653865108794,0,43634688,217260032,75952128,0,215691264,162709504,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.0168836862246224,0,0,1,250,0
2025-11-11T15:16:50Z,4,250,1,0,7.922222222222221,6.980555555555556,0.2145390305555555,0,0.008801784724772617,0.02562418396552389,0.016822399240751275,60509725,0,0,0,0,977896124416,0,329382.25396204495,0,0,0,0,31980060672,0,0,0,0,1762874210,135741440,0,2.3157219628279266,0,43634688,217260032,75952128,0,215937024,162955264,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.016879258400997528,0,0,1,250,0
2025-11-11T15:16:51Z,4,250,1,0,8.281571631416002,7.284056275247249,0.22190692489337177,0,0.008998441594148747,0.02606792796553612,0.01706948637138737,60509725,0,0,0,0,977896124416,0,330357.44723783457,0,0,0,0,31980093440,0,0,0,0,1762874211,135745536,0,2.3225780592313727,0,43634688,218812416,78049280,0,218279936,165298176,0,0,0,0,0,0,0,0,0,0,100000,100000,2597,0,0,0,1762874150,0,1,250,12,12,1,8217751552,0,0,0,1073737728,0.016874294040311457,0,0,1,250,0
