target,K,n_bins,fs,disc,score,accuracy,mean_prob_true,mae,accuracy_t2,mae_t2,naive_dbn_accuracy,naive_dbn_mean_prob,naive_dbn_mae,persistence_accuracy,majority_accuracy,majority_class,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error
throughput_3,3,2.0,markov,classic_quantile,bic,0.8054936896807721,0.7376535740464156,46.70744865132393,,,0.43875278396436523,0.5,134.7741648106904,0.9547141796585004,0.5612472160356348,1.0,4.0,"throughput_2,buffer_size_3,data_quality_1,throughput_3",8.0,trimmed,0.09338931902311742,0.05204032000619918,10.533279643044807,1339.0,8.0,,,False,30,
throughput_3,3,3.0,markov,classic_quantile,bic,0.8374164810690423,0.7371093178827088,25.253695454920404,,,0.3838158871566444,0.33338282603316005,101.79754598696694,0.9034892353377877,0.3838158871566444,1.0,4.0,"throughput_2,buffer_size_3,avg_p_latency_1,throughput_3",7.0,trimmed,0.09796316898427904,0.05364180007018149,7.81156069599092,1328.0,19.0,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_markov_classic_quantile_bic_bins3.pkl,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_markov_classic_quantile_bic_bins3_edges.csv,False,30,
throughput_3,3,4.0,markov,classic_quantile,bic,0.7661469933184856,0.6204059296554522,29.09732120762188,,,0.12694877505567928,0.24998178393686932,131.78745360059392,0.9079435783221975,0.12694877505567928,0.0,4.0,"throughput_2,buffer_size_3,data_quality_1,throughput_3",6.0,trimmed,0.10252922505605966,0.055620862054638565,7.168063999968581,1312.0,35.0,,,False,30,
throughput_3,3,5.0,markov,classic_quantile,bic,0.7386785449146251,0.6171291106997145,31.280215293244243,,,0.14996288047512993,0.20002942066045257,117.27908933432317,0.8626577579806979,0.14996288047512993,1.0,4.0,"throughput_2,buffer_size_3,avg_p_latency_1,throughput_3",6.0,trimmed,0.10890941706020385,0.05605881195515394,6.564587513101287,1287.0,60.0,,,False,30,
throughput_3,3,6.0,markov,classic_quantile,bic,0.7572383073496659,0.5633892663689126,21.4564670461107,,,0.19970304380103934,0.1666703786191537,201.82587230883442,0.8596881959910914,0.19970304380103934,5.0,4.0,"throughput_2,buffer_size_3,data_quality_1,throughput_3",6.0,trimmed,0.1000051440205425,0.06035930197685957,6.373823538888246,1274.0,73.0,,,False,30,
throughput_3,3,8.0,markov,classic_quantile,bic,0.6599851521900519,0.4944107583795984,28.64598799802029,,,0.15293244246473645,0.12515339299953257,91.66214736451374,0.8433556050482554,0.15293244246473645,5.0,4.0,"throughput_2,buffer_size_3,data_quality_1,throughput_3",4.0,trimmed,0.07294432492926717,0.0718397389864549,6.153588611050509,1220.0,127.0,,,False,30,
throughput_3,3,2.0,markov,classic_quantile,aic,0.8544914625092799,0.7654911399283473,34.94145013610492,,,0.43875278396436523,0.5,134.7741648106904,0.9547141796585004,0.5612472160356348,1.0,4.0,"throughput_2,buffer_size_3,python_gc_objects_collected_total_4,throughput_3",12.0,trimmed,0.09825105895288289,0.05060719302855432,16.297047763946466,1339.0,8.0,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_markov_classic_quantile_aic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_markov_classic_quantile_aic_bins2_edges.csv,False,30,
throughput_3,3,3.0,markov,classic_quantile,aic,0.8255382331106161,0.732117609581414,28.406908356017496,,,0.3838158871566444,0.33338282603316005,101.79754598696694,0.9034892353377877,0.3838158871566444,1.0,4.0,"throughput_2,buffer_size_3,avg_p_latency_1,throughput_3",12.0,trimmed,0.11661294905934483,0.0509792409138754,9.989053403027356,1328.0,19.0,,,False,30,
throughput_3,3,4.0,markov,classic_quantile,aic,0.7364513734224202,0.6321296919105014,35.87670131155655,,,0.12694877505567928,0.24998178393686932,131.78745360059392,0.9079435783221975,0.12694877505567928,0.0,4.0,"throughput_2,buffer_size_3,data_quality_1,throughput_3",8.0,trimmed,0.15951592894271016,0.0565984119893983,8.107223541941494,1312.0,35.0,,,False,30,
throughput_3,3,5.0,markov,classic_quantile,aic,0.7698589458054937,0.6263914199972798,25.112521653056174,,,0.14996288047512993,0.20002942066045257,117.27908933432317,0.8626577579806979,0.14996288047512993,1.0,4.0,"throughput_2,buffer_size_3,avg_p_latency_1,throughput_3",7.0,trimmed,0.09614780894480646,0.05931142205372453,7.236786872963421,1287.0,60.0,,,False,30,
throughput_3,3,6.0,markov,classic_quantile,aic,0.28878990348923533,0.2516570180121497,72.6526437350491,,,0.19970304380103934,0.1666703786191537,201.82587230883442,0.8596881959910914,0.19970304380103934,5.0,4.0,"throughput_2,buffer_size_3,avg_p_latency_1,throughput_3",7.0,trimmed,0.11355149396695197,0.061967329937033355,6.802927889046259,1267.0,80.0,,,False,30,
throughput_3,3,8.0,markov,classic_quantile,aic,0.6221232368225686,0.42601486012909956,36.43466344964118,,,0.15293244246473645,0.12515339299953257,91.66214736451374,0.8433556050482554,0.15293244246473645,5.0,4.0,"throughput_2,throughput_1,buffer_size_3,throughput_3",7.0,trimmed,0.13226460001897067,0.0674942759796977,6.119455093983561,1245.0,102.0,,,False,30,
throughput_3,3,2.0,markov,kmeans,bic,0.9168522642910171,0.8350785489917323,19.966542934917097,,,0.7453600593912398,0.6481247765954522,61.14753773818362,0.9510022271714922,0.7453600593912398,0.0,4.0,"throughput_2,buffer_size_3,data_quality_2,throughput_3",6.0,trimmed,0.09096599696204066,0.051602886989712715,9.638198727043346,1339.0,8.0,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_markov_kmeans_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_markov_kmeans_bic_bins2_edges.csv,False,30,
