target,K,n_bins,fs,disc,score,n_folds,n_folds_ok,accuracy,accuracy_std,f1,f1_std,precision,precision_std,recall,recall_std,log_loss,log_loss_std,persistence_accuracy,persistence_accuracy_std,persistence_f1,persistence_precision,persistence_recall,ar_dbn_accuracy,ar_dbn_accuracy_std,ar_dbn_f1,ar_dbn_precision,ar_dbn_recall,ar_dbn_log_loss,ar_dbn_log_loss_std,static_bn_si_accuracy,static_bn_si_accuracy_std,static_bn_si_f1,static_bn_si_precision,static_bn_si_recall,static_bn_si_log_loss,static_bn_si_log_loss_std,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,best_fold_accuracy,best_fold,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,prec_tput1,prec_tput2,prec_tput3,rec_tput1,rec_tput2,rec_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,4,2,markov,classic_uniform,bic,5,5,0.968095866210161,0.016859785525712313,0.7114967127602402,0.14302254261271125,0.7505407778936204,0.17517407287019737,0.6874186448568836,0.125717138276357,0.1260486607020559,0.0470042615360485,0.9814642152497687,0.008032980076580562,0.8745284800606118,0.8745284800606118,0.8745284800606118,0.9613251048010882,0.015651587992000626,0.49011454434285956,0.4806625524005441,0.5,0.16509488330785121,0.049752107589109335,0.9768489968722568,0.01979301155927707,0.8284499637882943,0.9127337418420012,0.7820140366087079,0.10955563456826109,0.06959244758502835,6,"throughput_2,buffer_size_3,data_quality_2,scrape_duration_seconds_3,throughput_3,throughput_1",5.0,trimmed,0.14146019192412496,0.06280601313337683,39.42680207826197,1112.4,9.8,0.9821905609973286,5,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins2_dbn_throughput_3_K4_markov_classic_uniform_bic_bins2.pkl,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins2_dbn_throughput_3_K4_markov_classic_uniform_bic_bins2_edges.csv,False,30,,0.8281389136242209,0.9697239536954586,0.9821905609973286,0.5447931565339936,0.4923146473779385,0.8565112951037515,0.5425533168375162,0.4848619768477293,0.8768432993031923,0.6188736381290938,0.5,0.8384186272131943,0.6714365558665786,0.07944042818879221,0.08404518400786272
throughput_3,4,3,markov,classic_uniform,bic,5,5,0.9069677445980415,0.044227769884020586,0.78398157729551,0.10642270743545776,0.8347920520508423,0.12223494696125876,0.7615792499368694,0.08834697139588792,0.3414722765129952,0.08798661465994151,0.9408317103251889,0.006935310253495855,0.8721575666018826,0.8721585421555386,0.872157977162367,0.6665563497316679,0.02695215561658216,0.2665547123006596,0.22218544991055594,0.3333333333333333,0.7497565314935167,0.0395736961676848,0.954770838152762,0.008920266570207258,0.8538060908735426,0.9150672196511046,0.8219948990997578,0.20004721438751938,0.02770381719705256,5,"buffer_size_3,throughput_2,scrape_duration_seconds_3,throughput_1,throughput_3",3.0,padded,0.15409632083028554,0.06919076619669795,34.93192887818441,1092.2,30.0,0.9358288770053476,4,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_bic_bins3.pkl,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_bic_bins3_edges.csv,False,30,,0.44385026737967914,0.85650623885918,0.9358288770053476,0.3321705242146286,0.5665712676976757,0.8266900608235708,0.36797248803827753,0.5822679924242424,0.9260070849339863,0.545171339563863,0.5618715798058446,0.7790090165254423,0.984066912054305,0.3860732726109249,0.30485938741590185
throughput_3,4,4,markov,classic_uniform,bic,5,5,0.8943181222946557,0.013690987879851915,0.5762305620281849,0.03984066586214608,0.6029578996416838,0.05122347179033687,0.5655015475622792,0.04495692045556285,0.3708051375075071,0.029270446731987417,0.9378047406123464,0.01516816575748524,0.699514346195783,0.6995379594255418,0.6994913264466999,0.5323630204935533,0.07950957885956239,0.17300320853784265,0.13309075512338833,0.25,0.8665559329981776,0.0249502557229056,0.9437289859711058,0.01930675194627539,0.7851919484108733,0.8668710261740511,0.7546627780467766,0.24800506066857309,0.08120569623243895,5,"throughput_2,scrape_duration_seconds_3,throughput_1,python_gc_objects_collected_total_1,throughput_3",2.0,padded,0.10813607787713408,0.05899233892560005,32.193872209172696,1084.0,38.2,0.9135472370766489,1,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4.pkl,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4_edges.csv,False,30,,0.7067736185383244,0.9206773618538324,0.9135472370766489,0.405437295318821,0.5853409484220464,0.5774375604481802,0.37223020721044436,0.5619967361014802,0.5762974047594417,0.4528810801036707,0.623822737151428,0.5798439806029939,0.7685442321412655,0.2794383496716704,0.32680506178897445
throughput_3,4,6,markov,classic_uniform,bic,5,4,0.8115350244363915,0.034916295718046914,0.5056250435517029,0.042271281643531236,0.5263326243967533,0.0335636156177293,0.5000462522146235,0.049497146998342435,0.654183143489457,0.07417870115091055,0.8995401609198687,0.024396358334915127,0.6314033173693511,0.6313566509923442,0.6314514406799598,0.38295948590720996,0.10736974738630238,0.09655471708694995,0.0677630040386051,0.175,1.2617870856534896,0.08012128031149394,0.8642228334754074,0.04762803518906564,0.671662698095958,0.7475273122595336,0.6475183232912,0.5287326941501699,0.13297542905733176,5,"throughput_2,scrape_duration_seconds_3,throughput_1,python_gc_objects_collected_total_1,throughput_3",2.0,padded,0.10290364909451455,0.055443281191401184,27.226636417210102,1069.75,52.5,0.8431372549019608,2,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6.pkl,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6_edges.csv,False,30,,0.5080213903743316,0.7976827094474154,0.8431372549019608,0.26193845233736596,0.41350613613981274,0.5383214249389994,0.23769051926816806,0.47572181624563986,0.5438190255431634,0.36123326050686827,0.4265031254689697,0.5371160870830086,1.6437204621324708,0.6385699816141229,0.6163295683425309
throughput_3,4,8,markov,classic_uniform,bic,5,4,0.7930482077069474,0.037713930411026934,0.34051890367762594,0.06224793189186526,0.35527968719554004,0.0707196424964313,0.33734540699608473,0.05434379685867893,0.7582848897760845,0.07879323328017446,0.9080040095047166,0.020740055719812616,0.5091279142198466,0.5091485915089654,0.5091076279496978,0.3272615368498245,0.10297616570153997,0.06079101583756281,0.040907692106228064,0.125,1.3049833393864705,0.057631498549509365,0.8715789319406901,0.023946377673378663,0.5429209851690687,0.590658686337911,0.5256789268290467,0.5833535882495443,0.1012156681504121,5,"throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_3,throughput_3",1.0,padded,0.09776324674021453,0.052489717258140445,25.10565794399008,1073.75,48.5,0.8199643493761141,4,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins8_dbn_throughput_3_K4_markov_classic_uniform_bic_bins8.pkl,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins8_dbn_throughput_3_K4_markov_classic_uniform_bic_bins8_edges.csv,False,30,,0.5730837789661319,0.8333333333333334,0.8199643493761141,0.21065932915613644,0.3221851505423693,0.3825084418078419,0.1827637398323694,0.32239705509905836,0.419226116255526,0.25456091527520097,0.32604651458867473,0.36476050918501385,1.32683394949893,0.5075288241699234,0.671743061839629
throughput_3,4,10,markov,classic_uniform,bic,5,4,0.7734421502754749,0.03976956383261244,0.3107885078665681,0.05882848524308799,0.31453342373759985,0.07331201026535224,0.33055063480917257,0.06521370276632762,0.813425670017256,0.11641289685303738,0.9080014301519199,0.014298974228158253,0.5441359479175799,0.5440519615269153,0.5442218480453581,0.31077451218486263,0.11627432335553456,0.04891121342812631,0.03265449617788416,0.10555555555555554,1.5242114665276876,0.0932182529373921,0.8546631338274766,0.04260717488467519,0.4855522137006202,0.5281484010439663,0.501138601270303,0.6360637235320934,0.1894192679946437,5,"throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_3,throughput_3",1.0,padded,0.10334808402694762,0.05575724970549345,25.93735121609643,1054.0,68.25,0.8181818181818182,2,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10.pkl,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10_edges.csv,False,30,,0.44385026737967914,0.8315508021390374,0.8181818181818182,0.1288872554441311,0.2927448594832115,0.34849657908809684,0.11802323106723116,0.2774061832754593,0.3384594380026645,0.19240876468599238,0.31129835183661925,0.3662917858358372,1.8634293447742472,0.6900902501389502,0.6664109125896235
throughput_3,4,2,markov,classic_uniform,aic,5,5,0.9639996952395465,0.015197333361162677,0.7300870947223272,0.04811795736180439,0.7804418850790504,0.08984282987280151,0.7116171572142573,0.07444647631894055,0.13056782970926858,0.03683757127765385,0.9814642152497687,0.008032980076580562,0.8745284800606118,0.8745284800606118,0.8745284800606118,0.9613251048010882,0.015651587992000626,0.49011454434285956,0.4806625524005441,0.5,0.16509488330785121,0.049752107589109335,0.9709755262815983,0.01579984875417076,0.7913577722511255,0.8398779426756213,0.7789845958603755,0.12827810030383707,0.05467871071621579,6,"throughput_2,process_cpu_seconds_total_2,buffer_size_3,process_resident_memory_bytes_1,throughput_3,throughput_1",10.0,trimmed,0.17879695678129792,0.06302689863368868,62.66100924415514,1113.2,9.0,0.9812834224598931,4,,,False,30,,0.26559714795008915,0.9875222816399287,0.9812834224598931,0.22723139059031214,0.4968609865470852,0.7618917689859026,0.5126696431211377,0.49376114081996436,0.9199974213512119,0.5018132116908781,0.5,0.6926317968126312,0.7704471261786963,0.042492858160848954,0.09109537763210294
throughput_3,4,3,markov,classic_uniform,aic,5,5,0.859040671234899,0.05146039076859672,0.6569503661549567,0.10073914016921476,0.7231858077827432,0.13987886170165736,0.655705737177283,0.09858226948716388,0.41464331006693894,0.11583964136411122,0.9408317103251889,0.006935310253495855,0.8721575666018826,0.8721585421555386,0.872157977162367,0.6665563497316679,0.02695215561658216,0.2665547123006596,0.22218544991055594,0.3333333333333333,0.749756531493517,0.039573696167684726,0.9218240097856846,0.030257096560508116,0.8224907042183691,0.8650522220205683,0.8162393845306655,0.2943007080769957,0.07514668571924268,6,"throughput_2,buffer_size_3,data_quality_1,scrape_duration_seconds_3,throughput_3,throughput_1",5.0,trimmed,0.23951332457363605,0.07715075919404626,42.6031116717495,1090.6,31.6,0.910873440285205,1,,,False,30,,0.8083778966131907,0.9313725490196079,0.910873440285205,0.5814268696716577,0.7376269903159539,0.7167342558760584,0.582967460471837,0.7779459568933254,0.8456409190561843,0.5923573492010492,0.7154347976061123,0.693206148367781,0.5262668519558342,0.22191984366702316,0.331192178131918
throughput_3,4,4,markov,classic_uniform,aic,5,5,0.8841588055929893,0.031408619251615345,0.5575366015617277,0.0784340760702221,0.5752299630818049,0.09581753857992509,0.5537166162219751,0.07432901403958925,0.42283234682242954,0.12365148899176757,0.9378047406123464,0.01516816575748524,0.699514346195783,0.6995379594255418,0.6994913264466999,0.5323630204935533,0.07950957885956239,0.17300320853784265,0.13309075512338833,0.25,0.8665559329981776,0.0249502557229056,0.9417699476808119,0.020320108709971536,0.7723303196862381,0.8568439646909225,0.741248143900435,0.23801875204366468,0.07012279173802809,5,"buffer_size_3,throughput_2,scrape_duration_seconds_3,throughput_1,throughput_3",3.0,padded,0.1528675973415375,0.0692475225776434,36.122373302001506,1076.4,45.8,0.9135472370766489,1,,,False,30,,0.7130124777183601,0.9233511586452763,0.9135472370766489,0.409465361323527,0.5882685089846216,0.5774375604481802,0.37253608320362247,0.5670196427975615,0.5762974047594417,0.4594111813085956,0.6248673053965533,0.5798439806029939,0.7597408800751614,0.26405125954014036,0.34296519676493553
throughput_3,4,6,markov,classic_uniform,aic,5,4,0.8327049633096986,0.013196027378185628,0.5469617600149423,0.01321562865332962,0.5625147927519142,0.037281152717022335,0.5432077648218857,0.006420108161506152,0.6018741363351405,0.050660064799087086,0.8995401609198687,0.024396358334915127,0.6314033173693511,0.6313566509923442,0.6314514406799598,0.38295948590720996,0.10736974738630238,0.09655471708694995,0.0677630040386051,0.175,1.2617870856534896,0.08012128031149401,0.8967250596552827,0.011597269467211978,0.7152917130582386,0.7852104545237494,0.694648996158963,0.43103235078658436,0.09283903991058193,5,"buffer_size_3,throughput_2,scrape_duration_seconds_3,throughput_1,throughput_3",3.0,padded,0.1541426640469581,0.0738523059990257,31.19020736636594,1041.5,80.75,0.8458110516934046,4,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_aic_bins6.pkl,saved_dbn_models_top5_20260316_105011_seed783122_run20260526_133646/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_aic_bins6_edges.csv,False,30,,0.5677361853832442,0.839572192513369,0.8458110516934046,0.22617964489231465,0.4991338100542242,0.5535401479572463,0.2371075701529748,0.5503841033390904,0.5809926932279873,0.2197433910410558,0.4854680925428869,0.5382013794505062,1.260950925289578,0.5492166470102116,0.5387629557415057
