target,K,n_bins,fs,disc,score,accuracy,mean_prob_true,mae,accuracy_t2,mae_t2,naive_dbn_accuracy,naive_dbn_mean_prob,naive_dbn_mae,persistence_accuracy,majority_accuracy,majority_class,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,mae_tput1,mae_tput2,mae_tput3
throughput_3,8,6.0,markov,classic_uniform,aic,0.7512991833704529,0.5937119253068277,27.751117710137752,,,0.2969561989606533,0.27455552805961125,104.94319887816549,0.8485523385300668,0.2969561989606533,0.0,9.0,"data_quality_3,buffer_size_3,throughput_2,scrape_duration_seconds_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.46974096505437046,0.21320653008297086,8.106037670047954,1146.0,201.0,,,False,30,,0.3437268002969562,0.749072011878248,0.7512991833704529,66.26032335230553,30.64715829415161,27.751117710137752
throughput_3,8,8.0,markov,classic_uniform,aic,0.7654046028210839,0.6492280954021394,21.61556545409552,,,0.25315515961395696,0.2102098971651681,116.10009898539964,0.8418708240534521,0.25315515961395696,0.0,9.0,"buffer_size_3,throughput_2,scrape_duration_seconds_3,avg_p_latency_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.5383960650069639,0.21583445195574313,7.557884922018275,1080.0,267.0,,,False,30,,0.34966592427616927,0.5976243504083147,0.7654046028210839,69.797710962633,40.024715416976,21.61556545409552
throughput_3,8,2.0,markov,classic_quantile,bic,0.8619153674832962,0.7959119341621406,33.15872308834447,,,0.43875278396436523,0.5,134.7741648106904,0.9547141796585004,0.5612472160356348,1.0,10.0,"buffer_size_3,scrape_duration_seconds_2,data_quality_1,avg_p_latency_2,throughput_2,scrape_duration_seconds_3,cores_2,cores_3,throughput_3,throughput_1",8.0,none,0.7617327650077641,0.26322542293928564,11.868781371973455,1231.0,116.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260505_154142/rank5_dbn_throughput_3_K8_markov_classic_quantile_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260505_154142/rank5_dbn_throughput_3_K8_markov_classic_quantile_bic_bins2_edges.csv,False,30,,0.7319970304380103,0.9420935412026726,0.8619153674832962,43.78275179411037,13.844469190794358,33.15872308834447
throughput_3,8,3.0,markov,classic_quantile,bic,0.835931700074239,0.7564413982824432,25.575076301245574,,,0.3838158871566444,0.33338282603316005,101.79754598696694,0.9034892353377877,0.3838158871566444,1.0,9.0,"buffer_size_3,avg_p_latency_2,throughput_2,cores_1,cores_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,throughput_3",5.0,padded,0.6420761349145323,0.19396606797818094,9.316706932964735,1236.0,111.0,,,False,30,,0.6726057906458798,0.8448403860430587,0.835931700074239,45.74803266518189,30.41643157634249,25.575076301245574
throughput_3,8,4.0,markov,classic_quantile,bic,0.8002969561989607,0.6512329064880958,22.0289717891611,,,0.12694877505567928,0.24998178393686932,131.78745360059392,0.9079435783221975,0.12694877505567928,0.0,9.0,"buffer_size_3,throughput_2,cores_3,avg_p_latency_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.4456305420026183,0.2308665179880336,8.279336396954022,1185.0,162.0,,,False,30,,0.5916852264291017,0.835931700074239,0.8002969561989607,57.39757485770849,26.00690423162584,22.0289717891611
throughput_3,8,5.0,markov,classic_quantile,bic,0.6844840386043058,0.5891424858154594,38.40058153922296,,,0.14996288047512993,0.20002942066045257,117.27908933432317,0.8626577579806979,0.14996288047512993,1.0,9.0,"buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",2.0,padded,0.4004192560678348,0.20118150196503848,7.635467221029103,1143.0,204.0,,,False,30,,0.526354862657758,0.7535263548626577,0.6844840386043058,56.74331848552338,38.65781984657263,38.40058153922296
throughput_3,8,6.0,markov,classic_quantile,bic,0.6703786191536748,0.5372882604355693,38.31713684731502,,,0.19970304380103934,0.16667037861915368,201.82587230883442,0.8596881959910914,0.19970304380103934,5.0,9.0,"buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",2.0,padded,0.4095001360401511,0.24787518102675676,7.952233201940544,1117.0,230.0,,,False,30,,0.3904974016332591,0.7126948775055679,0.6703786191536748,67.3268869091809,29.122750144353716,38.31713684731502
throughput_3,8,8.0,markov,classic_quantile,bic,0.7030438010393467,0.4892548770365617,23.687478346943827,,,0.15293244246473645,0.12515339299953257,91.66214736451374,0.8433556050482554,0.15293244246473645,5.0,9.0,"buffer_size_3,throughput_2,data_quality_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,throughput_3",3.0,padded,0.43388252099975944,0.2778713769512251,7.719151294091716,1006.0,341.0,,,False,30,,0.3303637713437268,0.6748329621380846,0.7030438010393467,68.03695867359563,26.162527839643655,23.687478346943827
throughput_3,8,2.0,markov,classic_quantile,aic,0.7958426132145509,0.755261366934091,49.024993813412514,,,0.43875278396436523,0.5,134.7741648106904,0.9547141796585004,0.5612472160356348,1.0,10.0,"throughput_2,buffer_size_3,process_resident_memory_bytes_1,data_quality_1,avg_p_latency_2,avg_p_latency_3,process_virtual_memory_bytes_1,process_virtual_memory_bytes_2,throughput_3,throughput_1",14.0,trimmed,0.858958013006486,0.23250642698258162,17.927767019020393,1273.0,74.0,,,False,30,,0.7824795842613215,0.8693392724573126,0.7958426132145509,35.535585251175455,31.238802276664185,49.024993813412514
throughput_3,8,3.0,markov,classic_quantile,aic,0.7683741648106904,0.537873979130823,37.80978718139075,,,0.3838158871566444,0.33338282603316005,101.79754598696694,0.9034892353377877,0.3838158871566444,1.0,9.0,"data_quality_3,buffer_size_3,buffer_size_2,avg_p_latency_2,process_virtual_memory_bytes_2,throughput_2,cores_3,throughput_1,throughput_3",7.0,padded,1.1623524070018902,0.2657404149649665,11.45824112801347,1153.0,194.0,,,False,30,,0.6020786933927246,0.7483296213808464,0.7683741648106904,54.583358079683244,52.683568423657505,37.80978718139075
