target,K,n_bins,fs,disc,score,n_folds,n_folds_ok,accuracy,accuracy_std,f1,f1_std,precision,precision_std,recall,recall_std,log_loss,log_loss_std,persistence_accuracy,persistence_accuracy_std,persistence_f1,persistence_f1_std,persistence_precision,persistence_precision_std,persistence_recall,persistence_recall_std,ar_dbn_accuracy,ar_dbn_accuracy_std,ar_dbn_f1,ar_dbn_f1_std,ar_dbn_precision,ar_dbn_precision_std,ar_dbn_recall,ar_dbn_recall_std,ar_dbn_log_loss,ar_dbn_log_loss_std,static_bn_si_accuracy,static_bn_si_accuracy_std,static_bn_si_f1,static_bn_si_f1_std,static_bn_si_precision,static_bn_si_precision_std,static_bn_si_recall,static_bn_si_recall_std,static_bn_si_log_loss,static_bn_si_log_loss_std,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,best_fold_f1,best_fold,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,prec_tput1,prec_tput2,prec_tput3,rec_tput1,rec_tput2,rec_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,4,4,markov,classic_uniform,bic,5,5,0.8551081502786495,0.03746237366478343,0.7844901209158349,0.05728985330577999,0.8005440579292898,0.06862601433639896,0.7790257337762281,0.05038717316480524,0.4955973542588469,0.10305611971105828,0.9199840318220707,0.02357754289871684,0.8704927960107485,0.031930806875478925,0.8704435903804398,0.03154568468044177,0.8705506597412344,0.032333948212472555,0.5184603882838653,0.07077899252283747,0.17014178918795578,0.01548670032757859,0.12961509707096633,0.017694748130709367,0.25,0.0,1.1052663774540725,0.051709325433997,0.9168402189103286,0.01924577178719835,0.8754694154902423,0.054981680279149805,0.8928599232290472,0.055578628729087615,0.8695207422364184,0.0514843852417342,0.34065312401338643,0.11344353563525496,5,"throughput_2,buffer_size_3,data_quality_3,throughput_1,throughput_3",3.0,padded,0.13110601864755153,0.0643930459395051,27.688933805562556,1082.8,39.4,0.839168694757592,5,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4_edges.csv,False,30,,0.6134796183510237,0.8542213291047821,0.8551081502786495,0.5559515047221165,0.7520431322640361,0.7844901209158349,0.5992286385808765,0.7613686806584248,0.8005440579292898,0.6067081878444295,0.7546886288889968,0.7790257337762281,1.0509956575959718,0.5095480430936122,0.4955973542588469
throughput_3,4,6,markov,classic_uniform,bic,5,5,0.6804423153540539,0.12830606238974815,0.5131325571093045,0.24285387273298104,0.5377255666488351,0.26360495643383125,0.5406049626543006,0.2235821968515469,0.977726541591224,0.3110685976331977,0.8797081918657531,0.030610715883895533,0.7979741616044083,0.017583660319540825,0.7978932326292478,0.017239664703514228,0.7980730020545433,0.01795887308295959,0.39353479269146335,0.10184445063929695,0.0930769514763824,0.01807182365336211,0.06558913211524389,0.01697407510654949,0.16666666666666666,0.0,1.4728558921715174,0.07815156596611063,0.8703653470147007,0.0417374428838262,0.8277334578395521,0.06267402969796673,0.8438382683662855,0.06769783909129233,0.8310206046665325,0.04835161479433298,0.5907491033549102,0.14237428442061062,5,"throughput_2,data_quality_3,throughput_1,buffer_size_3,throughput_3",2.0,padded,0.11553782783448696,0.07288438361138105,24.109572655521333,1041.2,81.0,0.724982561814855,3,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6_edges.csv,False,30,,0.5681972942985986,0.6496380175967416,0.6804423153540539,0.37067937738076584,0.46750578302748186,0.5131325571093045,0.36619949223430337,0.46103270859664364,0.5377255666488351,0.42561654195830423,0.5042192990406826,0.5406049626543006,1.4577905958511834,1.0215541376782145,0.977726541591224
throughput_3,4,10,markov,classic_uniform,bic,5,5,0.6847156283382778,0.10175406623773028,0.5670371273584279,0.12317551613333107,0.5697374623166531,0.12341371922127248,0.5828199927159844,0.1161643105951547,1.1464731494867995,0.22626343468296334,0.84013742791701,0.009229171725588358,0.7423261662874467,0.054108708622897066,0.742176680683933,0.05453911088740914,0.7425050960111026,0.05367658619948395,0.2960368442689955,0.09053872269343984,0.04752473461742217,0.013456737490103362,0.031239156797666045,0.010394466140289058,0.10500000000000001,0.011180339887498947,1.9647219631547401,0.10254477174422971,0.8119591016690804,0.050935283784767804,0.703762599118023,0.11157143921598645,0.7075207045832776,0.11633611183380527,0.7196564676511091,0.09866527027186728,0.8771154432244922,0.19084924116629065,5,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,throughput_3",1.0,padded,0.11274806186556816,0.06966645084321499,22.805694642476737,975.6,146.6,0.7232359579748077,3,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10_edges.csv,False,30,,0.4008419007528536,0.6806153304031886,0.6847156283382778,0.32772031204786967,0.5332684935240224,0.5670371273584279,0.3671613824325818,0.5389020594336486,0.5697374623166531,0.36575576185244135,0.5557192894498038,0.5828199927159844,1.9689295450140165,1.1734210562465885,1.1464731494867995
throughput_3,4,4,markov,classic_uniform,aic,5,5,0.8217776740745679,0.10732638018589619,0.7508194176505472,0.11002816144505906,0.7759449778620328,0.0988794208462603,0.745983993992209,0.10823749272884824,0.6293082302884169,0.3022809094481222,0.9199840318220707,0.02357754289871684,0.8704927960107485,0.031930806875478925,0.8704435903804398,0.03154568468044177,0.8705506597412344,0.032333948212472555,0.5184603882838653,0.07077899252283747,0.17014178918795578,0.01548670032757859,0.12961509707096633,0.017694748130709367,0.25,0.0,1.1052663774540725,0.051709325433997,0.913637688829172,0.01744859007913816,0.8721183037079306,0.05641641681585299,0.8943246564769952,0.048942133883502915,0.8622333013353082,0.06224371623667685,0.37375602097391447,0.15239491069359662,6,"data_quality_3,buffer_size_3,throughput_2,cores_2,throughput_3,throughput_1",4.0,none,0.1964177828282118,0.07286742348223925,31.496495980769396,1076.4,45.8,0.8555628627484633,3,,,False,30,,0.5865568894116377,0.811805499338892,0.8217776740745679,0.5044123578101638,0.6456671790210028,0.7508194176505472,0.5311312808966449,0.6447722282513011,0.7759449778620328,0.5686774249374581,0.6688601408444532,0.745983993992209,1.0717390147109203,0.5629779214950383,0.6293082302884169
throughput_3,4,6,markov,classic_uniform,aic,5,5,0.7289171638865211,0.0706660518774955,0.6026590244656831,0.12942497987729656,0.6186711592308489,0.14528695858853563,0.6135211300901359,0.11257942102153905,0.8304646656234272,0.13553939092294345,0.8797081918657531,0.030610715883895533,0.7979741616044083,0.017583660319540825,0.7978932326292478,0.017239664703514228,0.7980730020545433,0.01795887308295959,0.39353479269146335,0.10184445063929695,0.0930769514763824,0.01807182365336211,0.06558913211524389,0.01697407510654949,0.16666666666666666,0.0,1.4728558921715174,0.07815156596611063,0.8867495555562599,0.014564099859333497,0.8577180452448561,0.03872444112903734,0.8643071689793007,0.04798361058700359,0.858488684484026,0.0326887940499468,0.5330645713624483,0.12875146374063798,5,"throughput_2,buffer_size_3,data_quality_3,throughput_1,throughput_3",3.0,padded,0.16570294536650182,0.07526336275041104,28.169317400082946,1045.2,77.0,0.7421693987350766,5,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_aic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_aic_bins6_edges.csv,False,30,,0.5869227606852665,0.7315904844897563,0.7289171638865211,0.45019361650123074,0.5850229290693829,0.6026590244656831,0.46295186881443673,0.6094826237672999,0.6186711592308489,0.4888274929620472,0.5776225446099348,0.6135211300901359,1.4307570364851738,0.8527999974696181,0.8304646656234272
throughput_3,4,10,markov,classic_uniform,aic,5,4,0.6698376833126191,0.11577331607968214,0.5520091909734096,0.14387550345589073,0.550521032809485,0.14816113316785542,0.5734639312391341,0.13167114575775207,1.1722656955698327,0.3546779815891803,0.8378277563757633,0.008832115458044909,0.7444400560888751,0.062240498052577316,0.744147101470184,0.0627705007787858,0.7447670728737747,0.06170459960591063,0.27735443323285763,0.0927512651941996,0.045881861054612554,0.014948293822848572,0.029779783786743876,0.011395676280448094,0.10625000000000001,0.012499999999999997,1.9755262268166767,0.11507545145508061,0.8221515988883361,0.0515703534599043,0.7176436976940104,0.10823030345424968,0.7132880328939698,0.10495315459082134,0.7394771197476626,0.11921525117251272,0.8319407036206853,0.2918149812412227,5,"avg_p_latency_3,throughput_2,throughput_1,buffer_size_3,throughput_3",2.0,padded,0.23808477725833654,0.08777681132778525,23.427354633808136,972.25,150.0,0.7232359579748077,3,,,False,30,,0.3444128440658219,0.648493538919656,0.6698376833126191,0.2943364167008314,0.4805816821111841,0.5520091909734096,0.34322644849468764,0.4873382320233936,0.550521032809485,0.32993805530631776,0.5033317611211103,0.5734639312391341,2.215264612732044,1.2632181122747232,1.1722656955698327
throughput_3,4,4,markov,classic_quantile,bic,5,5,0.7424969404907595,0.09788543729255172,0.7285631331060314,0.10101810290128922,0.7483145730492946,0.06609705330167338,0.742373568635947,0.09840276505979345,0.7354822997222543,0.1839287122280761,0.9099985238165532,0.009322568440154628,0.9063327189685296,0.008891539362877706,0.9063820347330139,0.008851362489107045,0.9062859708587633,0.008939672322959804,0.24273043144238998,0.1076921096727783,0.09527099321911961,0.034574321771504934,0.060682607860597496,0.026923027418194575,0.25,0.0,1.38690310657542,0.0017337459785818632,0.8470446471861403,0.03419291397621061,0.8354869747236254,0.04620167145295801,0.8332350125838974,0.0453943135023078,0.8455709583976654,0.050064077435883765,0.551750864229565,0.13865347847418652,5,"buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,throughput_3",2.0,padded,0.1614582037553191,0.08102954216301442,27.190192745998502,1041.2,81.0,0.8484704765645663,1,,,False,30,,0.6949128813672315,0.743395348911037,0.7424969404907595,0.588154898206557,0.7033098104717539,0.7285631331060314,0.6110109609021774,0.7227729294785183,0.7483145730492946,0.6134936444167658,0.7326849805334662,0.742373568635947,0.8852440499115957,0.7743961413336601,0.7354822997222543
throughput_3,4,6,markov,classic_quantile,bic,5,5,0.6962971604897119,0.07623552509283106,0.6606777786362468,0.10687595538437172,0.6918811124524834,0.10628007609187948,0.6633466809589202,0.0956169675282529,0.9716865649775739,0.14568024524034753,0.8570663949219289,0.03146473748257054,0.8492544916961169,0.03300286402211786,0.8492750016281223,0.03310090616421629,0.8492374041074612,0.03290629267644699,0.1325873051398168,0.07790407949433341,0.03791649039813316,0.020106604220053777,0.022097884189969465,0.012984013249055567,0.16666666666666666,0.0,1.791886719320626,0.00027341929114951585,0.8263834796855145,0.034693444932046326,0.825422675659804,0.047341134809774095,0.8386457530539406,0.03205345294269296,0.8269431096092777,0.05083134222960244,0.6584943088313774,0.16865984897395628,5,"throughput_2,buffer_size_3,data_quality_3,throughput_1,throughput_3",3.0,padded,0.12617349959909915,0.09175319671630859,25.412778831087053,1022.0,100.2,0.7477408309510398,5,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins6_dbn_throughput_3_K4_markov_classic_quantile_bic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins6_dbn_throughput_3_K4_markov_classic_quantile_bic_bins6_edges.csv,False,30,,0.6202305385847369,0.7148481832626195,0.6962971604897119,0.5203179368260253,0.6695816795931908,0.6606777786362468,0.5421758221101882,0.7199572176890101,0.6918811124524834,0.5426821333130502,0.6658153663074418,0.6633466809589202,1.1460654787469786,0.9175454605481471,0.9716865649775739
throughput_3,4,10,markov,classic_quantile,bic,5,5,0.6143186619746255,0.05820134104870017,0.5827525624963499,0.06325426377266787,0.6199716579379532,0.05592601151035221,0.5895479491585567,0.05175083680233146,1.3420072868859159,0.16770439387944136,0.7800764440804251,0.06225503487212486,0.7679407933133596,0.07896882005665559,0.7679133222173409,0.07895607847395807,0.7679724438804054,0.07898238752811838,0.12385766416985315,0.03125044852503501,0.022394782451540685,0.0049987192273113065,0.012645223735266164,0.0031051308720831095,0.10222222222222221,0.004969039949999527,2.3020577196971415,0.0009517940344618842,0.7824073164471119,0.0646733589867934,0.7784328932304787,0.079140625623861,0.8074859346459204,0.05524102345823008,0.7780362993804569,0.08598053676530423,1.036344780494246,0.3372278333048503,5,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,throughput_3",1.0,padded,0.123439303599298,0.11490305066108704,25.174539408646524,908.2,214.0,0.6436995615458347,5,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins10_dbn_throughput_3_K4_markov_classic_quantile_bic_bins10.pkl,saved_dbn_models_top5_20260313_192652_seed783122_with_rps_run20260712_203204/best_bins10_dbn_throughput_3_K4_markov_classic_quantile_bic_bins10_edges.csv,False,30,,0.5284484359598288,0.5924154329423829,0.6143186619746255,0.4149255749210374,0.5476509618231572,0.5827525624963499,0.43660888646859364,0.5694998043246713,0.6199716579379532,0.43311634448012865,0.5672858300747222,0.5895479491585567,1.6284179122034388,1.4067678312914123,1.3420072868859159
throughput_3,4,4,markov,classic_quantile,aic,5,5,0.7831189692747496,0.05226149728052516,0.7648161162678143,0.05938341886834352,0.7863329011987057,0.060364040145907086,0.7626769472547037,0.05959949818264631,0.6803382344432598,0.10836182326829165,0.9099985238165532,0.009322568440154628,0.9063327189685296,0.008891539362877706,0.9063820347330139,0.008851362489107045,0.9062859708587633,0.008939672322959804,0.24273043144238998,0.1076921096727783,0.09527099321911961,0.034574321771504934,0.060682607860597496,0.026923027418194575,0.25,0.0,1.38690310657542,0.0017337459785818834,0.8714377160820502,0.02036818864417003,0.8707080116083574,0.02209278092671158,0.8811509618487683,0.02055116864607142,0.8718866654687079,0.03330168235847309,0.49231080239977,0.07078559677874546,5,"data_quality_1,buffer_size_3,throughput_2,throughput_1,throughput_3",3.0,padded,0.28053065203130245,0.0817115070298314,32.15491181705147,1051.0,71.2,0.8477404232716308,1,,,False,30,,0.6943957409726621,0.7699417304362043,0.7831189692747496,0.5981312123003105,0.711786438083332,0.7648161162678143,0.6204262792115243,0.7271425174089836,0.7863329011987057,0.6096847563466448,0.739607431960317,0.7626769472547037,0.9481606579636169,0.6657225999636839,0.6803382344432598
