target,K,n_bins,fs,disc,score,n_folds,n_folds_ok,accuracy,accuracy_std,f1,f1_std,precision,precision_std,recall,recall_std,log_loss,log_loss_std,persistence_accuracy,persistence_accuracy_std,persistence_f1,persistence_precision,persistence_recall,ar_dbn_accuracy,ar_dbn_accuracy_std,ar_dbn_f1,ar_dbn_precision,ar_dbn_recall,ar_dbn_log_loss,ar_dbn_log_loss_std,static_bn_accuracy,static_bn_accuracy_std,static_bn_f1,static_bn_precision,static_bn_recall,static_bn_log_loss,static_bn_log_loss_std,static_bn_si_accuracy,static_bn_si_accuracy_std,static_bn_si_f1,static_bn_si_precision,static_bn_si_recall,static_bn_si_log_loss,static_bn_si_log_loss_std,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,best_fold_accuracy,best_fold,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,prec_tput1,prec_tput2,prec_tput3,rec_tput1,rec_tput2,rec_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,4,2,markov,classic_uniform,bic,5,5,0.9427885264038425,0.01762435729276571,0.883837232511388,0.028120403056645985,0.8878546302043422,0.0328187623684071,0.881498506464046,0.030395182152175196,0.20608892464362719,0.054609483073620554,0.9664950801821579,0.009378130232540343,0.9327195238402688,0.9327884823209507,0.9326586844088828,0.8547511678515816,0.029340572945839295,0.46073690899942166,0.4273755839257908,0.5,0.4165197125997947,0.05258408540677419,0.9472448543895823,0.017474782293449405,0.8946645131047382,0.8977881440128781,0.8942312959137381,0.1899977203172877,0.03743819626319649,0.9634930267490167,0.0234021978988655,0.9307301665645078,0.9264403772523657,0.936124336416745,0.15137308953101264,0.06528707146801711,6,"throughput_2,buffer_size_3,avg_p_latency_1,buffer_size_2,throughput_3,throughput_1",6.0,trimmed,0.17414616215974094,0.07107107574120164,43.487343091052026,1110.4,11.8,0.964349376114082,3,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins2_dbn_throughput_3_K4_markov_classic_uniform_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins2_dbn_throughput_3_K4_markov_classic_uniform_bic_bins2_edges.csv,False,30,,0.7923351158645277,0.9741532976827094,0.964349376114082,0.6666177822723082,0.9254117620090089,0.902360066833751,0.8520162174008328,0.946078431372549,0.9087517680339463,0.6488273332689896,0.90704456353,0.8962260917255089,0.4854005223602428,0.14025667566280092,0.13920259322351264
throughput_3,4,3,markov,classic_uniform,bic,5,5,0.8916408334563487,0.02234378756148107,0.8000988616331426,0.037036896948105205,0.8076596192689474,0.04322434333525883,0.7962591018702634,0.041665200969102506,0.3761722110976399,0.05760736483430595,0.9272876478365977,0.013061905071007927,0.8624747248555179,0.8624017075189705,0.8625533577492035,0.7189507034093487,0.0340095038410618,0.27871241497353844,0.23965023446978298,0.3333333333333333,0.7666433164949852,0.07091676229181973,0.881481675484085,0.028741003871090912,0.787539450289209,0.7946382913111367,0.7865068273106738,0.4089574128505523,0.0861667662693304,0.92930508329557,0.022849076521104007,0.8670479699676173,0.8775807660197096,0.8593693989981197,0.269807575751701,0.07648666469753433,5,"buffer_size_3,data_quality_2,throughput_2,throughput_1,throughput_3",3.0,padded,0.1580206375569105,0.06833382006734609,37.00311447819695,1099.6,22.6,0.9206773618538324,3,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_bic_bins3.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins3_dbn_throughput_3_K4_markov_classic_uniform_bic_bins3_edges.csv,False,30,,0.5525846702317291,0.9162210338680927,0.9206773618538324,0.43458966598736287,0.7915842642708314,0.8117381463250452,0.568567590388305,0.7842572421309583,0.7949903300268263,0.5603705208968367,0.8050556482764906,0.8306934594168637,0.8375466905406089,0.308619839779106,0.29571021747600773
throughput_3,4,4,markov,classic_uniform,bic,5,5,0.8654468312055658,0.013779954044615758,0.7563227012987076,0.07622558703659102,0.7708385005775027,0.08002812454127244,0.7548430623412526,0.08081585326562542,0.503868721676415,0.04477598458982806,0.9199840318220707,0.02357754289871684,0.8704927960107485,0.8704435903804398,0.8705506597412344,0.5184603882838653,0.07077899252283747,0.17014178918795578,0.12961509707096633,0.25,1.1052663774540725,0.051709325433997,0.8722193386380701,0.024641168955383562,0.7944237607810973,0.8191320983036853,0.7811758214440083,0.487023104882707,0.08248795053751201,0.9170183133003553,0.0189738669839607,0.875570110865931,0.8929772841745638,0.869619361565807,0.3389799174459974,0.11355624839145921,6,"buffer_size_3,throughput_2,scrape_duration_seconds_3,data_quality_3,throughput_3,throughput_1",4.0,none,0.16636951258406044,0.07188780168071389,33.20341470884159,1085.2,37.0,0.8796791443850267,3,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_bic_bins4_edges.csv,False,30,,0.6105169340463458,0.8627450980392157,0.8796791443850267,0.49855477320930197,0.6441204721489903,0.6348638288738879,0.47246069579872396,0.6490043331631903,0.6353965274921157,0.5415655438033212,0.6402279065669141,0.6362055150710908,0.9769084078936472,0.5106825071456501,0.4891850911464053
throughput_3,4,6,markov,classic_uniform,bic,5,5,0.677250743250429,0.10057598623686993,0.5157975305102821,0.21516361483329347,0.5428579591434,0.22941542818922153,0.5403722634564925,0.20394619248574658,0.953819761187005,0.20873987139169511,0.8797081918657531,0.030610715883895533,0.7979741616044083,0.7978932326292478,0.7980730020545433,0.39353479269146335,0.10184445063929695,0.0930769514763824,0.06558913211524389,0.16666666666666666,1.4728558921715174,0.07815156596611063,0.7982538178389627,0.03130922580297845,0.6994758595601311,0.7006646271928161,0.7058788153914322,0.7715980626769925,0.046903712738724,0.8703653470147007,0.0417374428838262,0.8277334578395521,0.8438382683662855,0.8310206046665325,0.5907491033549102,0.14237428442061065,5,"throughput_2,data_quality_3,throughput_1,buffer_size_3,throughput_3",2.0,padded,0.114657798781991,0.07047223960980772,28.45947074983269,1041.2,81.0,0.8101604278074866,3,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_bic_bins6_edges.csv,False,30,,0.5989304812834224,0.8083778966131907,0.8101604278074866,0.4513089645798484,0.7264604264293206,0.724982561814855,0.39651900233688314,0.7225597601412773,0.7283268396624095,0.5316915592241688,0.740505848607464,0.7274612560957036,1.3227885038533378,0.720585083727222,0.6999055088562355
throughput_3,4,8,markov,classic_uniform,bic,5,5,0.7720533076826618,0.02639083895351234,0.6310941254661206,0.0757525260189084,0.6423019245064948,0.06681972614768424,0.6374684467181317,0.07928596273032285,0.931694337991769,0.0604198345670053,0.8697253822600844,0.0284101448458961,0.7630910152053453,0.7629160608022136,0.7632880628347479,0.3507573773458222,0.10736264225842222,0.06596428673964878,0.04523886620948064,0.12857142857142856,1.741622251692555,0.0874829126471609,0.7768661419072608,0.027235296400415863,0.6538804818981465,0.6590169924698236,0.6681127319430035,0.9075879599064764,0.04384275983427174,0.8575428678267099,0.037813853279592004,0.7912976185091974,0.8061052439655076,0.80016653575031,0.726963062436695,0.12603705880457983,5,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,throughput_3",1.0,padded,0.10485223056748509,0.061374423932284115,26.75067854532972,1045.2,77.0,0.803030303030303,2,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins8_dbn_throughput_3_K4_markov_classic_uniform_bic_bins8.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins8_dbn_throughput_3_K4_markov_classic_uniform_bic_bins8_edges.csv,False,30,,0.4928698752228164,0.7335115864527629,0.803030303030303,0.35781318973826465,0.5244325213624591,0.641414752519645,0.34347790159952957,0.5425386333372869,0.6457055574914162,0.3931044871106224,0.5165982952750707,0.6552645881310363,2.298020787265267,0.9782679171809732,0.851351400704779
throughput_3,4,10,markov,classic_uniform,bic,5,5,0.6749117067696504,0.12207816583140929,0.549497131531069,0.14884907360936436,0.5587821349467281,0.13923651109924984,0.5667512283466758,0.138356073977585,1.1492488683712363,0.21296830169893102,0.84013742791701,0.009229171725588358,0.7423261662874467,0.742176680683933,0.7425050960111026,0.2960368442689955,0.09053872269343984,0.04752473461742217,0.031239156797666045,0.10500000000000001,1.9647219631547401,0.10254477174422971,0.7266051114042315,0.04017978721799595,0.5680271723821401,0.5750012073976818,0.5821187076439867,1.1156341556088607,0.14599987886846966,0.8119591016690804,0.050935283784767804,0.703762599118023,0.7075207045832776,0.7196564676511091,0.8771154432244922,0.19084924116629065,5,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,throughput_3",1.0,padded,0.11462770923972129,0.08558777589350938,27.492008022032678,944.4,177.8,0.7620320855614974,1,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins10_dbn_throughput_3_K4_markov_classic_uniform_bic_bins10_edges.csv,False,30,,0.6131907308377896,0.7575757575757576,0.7620320855614974,0.3868691558498238,0.5138790473967705,0.5103516797750423,0.35937153786029663,0.4985581100809597,0.5250332887586266,0.47715595947434136,0.5350018880082741,0.5106385284590413,1.2104915159280303,1.042410240611878,1.0757625091390615
throughput_3,4,2,markov,classic_uniform,aic,5,5,0.9244284551025949,0.05147767862296582,0.8556920302726748,0.08128819171135647,0.8491367487879471,0.07967504073542901,0.8632034875029667,0.08392730729756097,0.21463203134487285,0.06930045655783111,0.9664950801821579,0.009378130232540343,0.9327195238402688,0.9327884823209507,0.9326586844088828,0.8547511678515816,0.029340572945839295,0.46073690899942166,0.4273755839257908,0.5,0.4165197125997947,0.05258408540677419,0.9452840700758568,0.014942218746818167,0.8905087082765885,0.8889675107081922,0.8946631873238978,0.19896259515127857,0.040982689709353225,0.9634930267490167,0.018977156978131703,0.9289444133792573,0.9218627414808805,0.9373296989561991,0.14966765534394638,0.05799077206170805,5,"throughput_2,throughput_1,buffer_size_3,avg_p_latency_1,throughput_3",10.0,trimmed,0.18019005432724952,0.0614466336555779,64.48944388888776,1112.2,10.0,0.9625668449197861,3,,,False,30,,0.7825311942959001,0.9634581105169341,0.9625668449197861,0.6539085847782885,0.8995280206351737,0.8990453828751628,0.8162203881877264,0.8979741019214703,0.8990453828751628,0.6391931280764405,0.901098081864985,0.8990453828751628,0.5467538642170733,0.14262760462028753,0.14970665320819332
throughput_3,4,3,markov,classic_uniform,aic,5,5,0.8273339968222373,0.09657878343002256,0.6849251266960714,0.16118721146265177,0.6934648492332534,0.17540408556742193,0.6869277335361256,0.1510431561991023,0.514438422235316,0.12122873698792083,0.9272876478365977,0.013061905071007927,0.8624747248555179,0.8624017075189705,0.8625533577492035,0.7189507034093487,0.0340095038410618,0.27871241497353844,0.23965023446978298,0.3333333333333333,0.7666433164949852,0.07091676229181973,0.8780935963796997,0.018345569954348245,0.768697051872883,0.7814471106735497,0.7738107225423109,0.4166144785839596,0.0467187051408248,0.923783523416877,0.025586037799254464,0.8484485567816644,0.8577471143438927,0.8576724506682574,0.28960052359483174,0.0715926716909876,6,"throughput_2,buffer_size_3,process_resident_memory_bytes_3,data_quality_2,throughput_3,throughput_1",5.0,trimmed,0.19498045314103365,0.07122455583885312,42.92463560402393,1091.0,31.2,0.8859180035650623,3,,,False,30,,0.5490196078431373,0.8680926916221033,0.8859180035650623,0.44132384747411524,0.7423940841390507,0.7477540551624444,0.49934070922253165,0.7703861180794723,0.7938278161326489,0.4841298064982275,0.7252922804844957,0.7335500394011033,0.9355266250417744,0.6432441080633388,0.675072490815067
throughput_3,4,4,markov,classic_uniform,aic,5,5,0.8693685585624195,0.022756250839654987,0.7784252023994072,0.07721042577408421,0.794728453854102,0.0562648188472089,0.7817546111455143,0.07342826950464534,0.5050083897945784,0.08621812952003101,0.9199840318220707,0.02357754289871684,0.8704927960107485,0.8704435903804398,0.8705506597412344,0.5184603882838653,0.07077899252283747,0.17014178918795578,0.12961509707096633,0.25,1.1052663774540725,0.051709325433997,0.864914611517723,0.02779909032391265,0.7827486026565142,0.8088798857727519,0.77427766420041,0.5142590253226293,0.10970820651486313,0.9138157832191987,0.017062411974173415,0.8722172684206833,0.8944306206793243,0.8623319206646969,0.3723389076617499,0.15183964943702039,6,"throughput_2,buffer_size_3,data_quality_3,cores_2,throughput_3,throughput_1",5.0,trimmed,0.2504798784852028,0.07605786817148327,38.496952245011926,1079.0,43.2,0.9037433155080213,3,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_aic_bins4.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins4_dbn_throughput_3_K4_markov_classic_uniform_aic_bins4_edges.csv,False,30,,0.6559714795008913,0.8734402852049911,0.9037433155080213,0.6185581517730947,0.6528489500278584,0.8512969017531493,0.6598631179088315,0.6620987880934919,0.8602312256973825,0.6199395786329414,0.6450529910431613,0.8462884770674158,1.0019591501457017,0.45868366971427144,0.3951170488827855
throughput_3,4,6,markov,classic_uniform,aic,5,5,0.7250106745523434,0.09078324135736289,0.5727847075853972,0.1314090099976132,0.5800641927608169,0.13340010725634718,0.5933107872507424,0.11515919580861243,0.8651028358193397,0.1377116364569656,0.8797081918657531,0.030610715883895533,0.7979741616044083,0.7978932326292478,0.7980730020545433,0.39353479269146335,0.10184445063929695,0.0930769514763824,0.06558913211524389,0.16666666666666666,1.4728558921715174,0.07815156596611063,0.8123347031680803,0.014153483249057146,0.7199380588065768,0.7240102299914263,0.726040376704508,0.7661915088077944,0.06819698747090278,0.8840781397058592,0.014069738412390965,0.8503158193018875,0.8592040075967227,0.8488552455426616,0.5308420648228882,0.12951394877715192,6,"buffer_size_3,throughput_2,scrape_duration_seconds_3,data_quality_3,throughput_3,throughput_1",4.0,none,0.2041463461704552,0.08833940718322993,33.348804221022874,1044.0,78.2,0.8137254901960784,1,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_aic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260519_143718/best_bins6_dbn_throughput_3_K4_markov_classic_uniform_aic_bins6_edges.csv,False,30,,0.7094474153297683,0.82174688057041,0.8137254901960784,0.4551433516734424,0.6073750535647645,0.6137892023884869,0.41719820380907063,0.5958013385534394,0.6197374942103707,0.5700514565039864,0.6337079456536062,0.6115872886395755,0.7386614174753191,0.5949299588791269,0.7356941394352691
