target,K,n_bins,fs,disc,score,accuracy,f1,log_loss,persistence_accuracy,persistence_f1,ar_dbn_accuracy,ar_dbn_f1,ar_dbn_log_loss,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,8,6.0,markov,classic_uniform,aic,0.7498144023756496,0.7035382567963019,0.99281656182373,0.8485523385300668,0.7909169132399255,0.2969561989606533,0.0763213127265789,1.5309676985598495,9.0,"scrape_duration_seconds_3,data_quality_3,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.5327589949592948,0.22406489797867835,8.303419384174049,1146.0,201.0,,,False,30,,0.3682256867112101,0.6785449146250928,0.7498144023756496,0.2614740091961397,0.6088696417456148,0.7035382567963019,1.9425373058352164,0.9752729234172782,0.99281656182373
throughput_3,8,8.0,markov,classic_uniform,aic,0.7305122494432071,0.702313802257414,1.0336541882657935,0.8418708240534521,0.7728057606295672,0.25315515961395696,0.050503554502369666,1.8518613254826721,9.0,"scrape_duration_seconds_3,avg_p_latency_3,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.64520881511271,0.2160857489798218,7.741463366895914,1080.0,267.0,,,False,30,,0.34669636228656275,0.593170007423905,0.7305122494432071,0.2923689467545333,0.5437919998549572,0.702313802257414,2.350508408582616,1.2408090476788811,1.0336541882657935
throughput_3,8,2.0,markov,classic_quantile,bic,0.8552338530066815,0.8473563915751816,0.37558934924028714,0.9547141796585004,0.9540158032026138,0.43875278396436523,0.30495356037151705,0.6931471805599454,10.0,"scrape_duration_seconds_3,scrape_duration_seconds_2,cores_3,data_quality_1,avg_p_latency_2,buffer_size_3,throughput_2,cores_2,throughput_3,throughput_1",8.0,none,0.8066764031536877,0.25794542278163135,11.88310280884616,1231.0,116.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260508_130018/rank5_dbn_throughput_3_K8_markov_classic_quantile_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260508_130018/rank5_dbn_throughput_3_K8_markov_classic_quantile_bic_bins2_edges.csv,False,30,,0.7564959168522642,0.902746844840386,0.8552338530066815,0.6322245529917091,0.8861724163066624,0.8473563915751816,0.5528898915865068,0.24114430230230732,0.37558934924028714
throughput_3,8,3.0,markov,classic_quantile,bic,0.8255382331106161,0.8145408622058934,0.5061142869199103,0.9034892353377877,0.9005309788404275,0.3838158871566444,0.18490701001430618,1.0984642534211584,9.0,"cores_1,cores_3,avg_p_latency_2,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,throughput_3",5.0,padded,0.5799546409398317,0.18297951389104128,8.750011115102097,1236.0,111.0,,,False,30,,0.6362286562731997,0.8307349665924276,0.8255382331106161,0.45887217491040594,0.8194095481024554,0.8145408622058934,0.6791055817102977,0.4516270216650783,0.5061142869199103
throughput_3,8,4.0,markov,classic_quantile,bic,0.7572383073496659,0.73708735882832,0.7855232071943545,0.9079435783221975,0.9076842108441509,0.12694877505567928,0.05632411067193676,1.3863672939628553,9.0,"buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",2.0,padded,0.39935696101747453,0.1754713519476354,8.048782021040097,1221.0,126.0,,,False,30,,0.5746102449888641,0.8092056421677802,0.7572383073496659,0.4318775737570044,0.772381336013085,0.73708735882832,1.4423415946047462,0.5524986278589191,0.7855232071943545
throughput_3,8,5.0,markov,classic_quantile,bic,0.7698589458054937,0.733992469727163,0.908028002414849,0.8626577579806979,0.845499961543088,0.14996288047512993,0.052162685603615234,1.609291431485734,9.0,"buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",2.0,padded,0.4134413390420377,0.20821829210035503,7.718021470122039,1143.0,204.0,,,False,30,,0.5389755011135857,0.7839643652561247,0.7698589458054937,0.36023078113905166,0.7417459519663706,0.733992469727163,1.418978209038597,0.7040045688496033,0.908028002414849
throughput_3,8,6.0,markov,classic_quantile,bic,0.732739420935412,0.7069870038308936,1.0030110745034058,0.8596881959910914,0.8657998013014473,0.19970304380103934,0.05548679867986799,1.791779820993521,9.0,"buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",2.0,padded,0.39729509921744466,0.20572424703277647,7.320644196122885,1117.0,230.0,,,False,30,,0.4662212323682257,0.7015590200445434,0.732739420935412,0.35057603858081327,0.5877926302316605,0.7069870038308936,1.6556191931052322,0.8608114491907525,1.0030110745034058
throughput_3,8,8.0,markov,classic_quantile,bic,0.7134372680029696,0.6897668900140471,1.159387361614869,0.8433556050482554,0.8394013362382622,0.15293244246473645,0.03316162266580811,2.0784188456894834,9.0,"buffer_size_3,data_quality_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,throughput_3",3.0,padded,0.40422895597293973,0.24289906909689307,8.002522751921788,1006.0,341.0,,,False,30,,0.4669636228656273,0.5501113585746102,0.7134372680029696,0.33674452563863544,0.4659596741880093,0.6897668900140471,1.9365115213534354,1.4575492768935048,1.159387361614869
throughput_3,8,2.0,markov,classic_quantile,aic,0.8544914625092799,0.8473679098679099,0.32234582642449544,0.9547141796585004,0.9540158032026138,0.43875278396436523,0.30495356037151705,0.6931471805599454,10.0,"throughput_2,buffer_size_3,python_gc_objects_collected_total_9,buffer_size_2,data_quality_1,avg_p_latency_2,avg_p_latency_3,data_quality_2,throughput_3,throughput_1",15.0,trimmed,0.7850596469361335,0.19302394590340555,19.752706913044676,1287.0,60.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260508_130018/rank5_dbn_throughput_3_K8_markov_classic_quantile_aic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260508_130018/rank5_dbn_throughput_3_K8_markov_classic_quantile_aic_bins2_edges.csv,False,30,,0.7691165553080921,0.888641425389755,0.8544914625092799,0.6442635688537328,0.8681521330576959,0.8473679098679099,0.5765420796764779,0.2722007860407398,0.32234582642449544
throughput_3,8,3.0,markov,classic_quantile,aic,0.8314773570898293,0.8203338524200395,0.5360116267481192,0.9034892353377877,0.9005309788404275,0.3838158871566444,0.18490701001430618,1.0984642534211584,9.0,"process_virtual_memory_bytes_2,buffer_size_2,cores_3,avg_p_latency_2,data_quality_3,buffer_size_3,throughput_2,throughput_1,throughput_3",7.0,padded,1.216561800101772,0.24184825993143022,11.725608203094453,1153.0,194.0,,,False,30,,0.6466221232368226,0.8114328136599851,0.8314773570898293,0.4644888857058198,0.7854746197411372,0.8203338524200395,0.7675690045561738,0.5501326677156593,0.5360116267481192
