metric,labels,timestamp,value
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:25:39Z","622.5843058213783"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:25:54Z","651.1927133594054"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:26:09Z","725.3671607366958"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:26:24Z","726.4317129709174"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:26:39Z","776.2311901504789"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:26:54Z","763.8095560941712"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:27:09Z","815.246514326672"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:27:24Z","957.7816511916335"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:27:39Z","1010.481785328926"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:27:54Z","1204.1754087843112"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:28:09Z","1452.9519505640287"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:28:24Z","1658.4948785236604"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:28:39Z","2041.9148391500983"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:28:54Z","2506.5255491840935"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:29:09Z","2872.1135861248085"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:29:24Z","3020.6814127102352"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:29:39Z","2991.188754201894"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:29:54Z","2871.210417999758"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:30:09Z","2805.274243828461"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:30:24Z","2867.453779664744"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:30:39Z","2852.958528544161"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:30:54Z","3025.5104647400417"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=container","2025-10-31T10:31:09Z","3098.0929283059686"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:16:09Z","456.31001371742116"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:16:24Z","495.47238409133377"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:16:39Z","482.5931615375321"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:16:54Z","475.8941393694865"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:17:09Z","371.30250318201104"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:17:24Z","303.3667001489384"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:17:39Z","318.3398595733189"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:17:54Z","331.6676448394399"
"container_memory_failures_total","failure_type=pgfault;id=/;instance=cadvisor:8080;job=iot_service;scope=hierarchy","2025-10-31T10:18:09Z","379.59077509970524"
