metric,labels,timestamp,value
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:24:24Z","1409.667372188667"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:24:39Z","1429.4688350666574"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:24:54Z","969.8117674914171"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:25:09Z","971.6357721373142"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:25:24Z","1205.9368559602365"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:25:39Z","1179.3838180247621"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:25:54Z","1178.8646790932332"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:26:09Z","1180.8838991961472"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:26:24Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:26:39Z","1470.8618331053353"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:26:54Z","2638.146409261174"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:27:09Z","2656.2452002662253"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:27:24Z","2608.6548453055343"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:27:39Z","1192.5942418689092"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:27:54Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:28:09Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:28:24Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:28:39Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:28:54Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:29:09Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:29:24Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:29:39Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:29:54Z","0"
