metric,labels,timestamp,value
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:16:09Z","13"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:16:24Z","13"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:16:39Z","13"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:16:54Z","14"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:17:09Z","14"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:17:24Z","14"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:17:39Z","14"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:17:54Z","15"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:18:09Z","15"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:18:24Z","17"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:18:39Z","16"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:18:54Z","17"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:19:09Z","18"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:19:24Z","20"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:19:39Z","20"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:19:54Z","21"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:20:09Z","22"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:20:24Z","25"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:20:39Z","28"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:20:54Z","31"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:21:09Z","46"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:21:24Z","38"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-10-31T10:21:39Z","41"
